Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1677812831782,6,4,0,0.001024,1,0,0.1,0,3,0,0.1,1,0,0,0,3,3,0
1677812832032,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
1677812832282,2.31579,19,0,0.002912,5,0,9,14.3617,94,0,1.14998,27,0,32.7622,31,6,15,1
1677812832532,14.4286,77,0,0.494688,18,0,9,15.9211,38,0,0.608512,11,0,31.4732,31,494,536,1
1677812832782,14.1552,58,0,0.59648,21,0,9,14.1905,21,0,0.163968,6,0,33.6346,31,323,369,1
1677812833032,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812833282,13.35,20,0,0.083104,6,0,9,0,0,0,0,0,0,0,0,65,71,0
1677812833532,0,0,0,0,0,0,9,15.0145,69,0,0.759936,20,0,33.0687,31,0,0,1
1677812833782,0,0,0,0,0,0,9,14.6327,49,0,0.482624,14,0,33.2539,31,0,0,1
1677812834032,17.4451,173,0,2.94726,50,0,9,15.6978,139,0,2.03843,41,0,31.5896,31,2243,2288,1
1677812834282,12,8,0,0.004672,2,0,9,15.2754,69,0,0.916,20,0,32.2216,31,4,6,1
1677812834532,17.025,280,0,4.36438,80,0,9,14.9828,58,0,0.66832,17,0,32.7445,31,3287,3420,1
1677812834782,16.5818,55,0,0.858496,16,0,9,15.5169,89,0,1.27722,26,0,31.786,31,638,677,1
1677812835032,16.5,14,0,0.17984,4,0,9,14.6471,34,0,0.312128,10,0,33.3111,31,136,142,1
1677812835282,17.4706,17,0,0.31152,5,0,9,15,23,0,0.195488,7,0,33.5671,31,234,242,1
1677812835532,15.0968,62,0,0.615104,18,0,9,14.4286,7,0,0.1,2,0,34.881,31,464,487,1
1677812835782,12.8824,17,0,0.12432,5,0,9,0,3,0,0.1,1,0,0,31,95,107,0
1677812836032,13.0909,11,0,0.056512,3,0,9,0,0,0,0,0,0,0,0,40,51,0
1677812836282,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812836532,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812836782,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812837032,0,0,0,0,0,0,9,15.027,37,0,0.443168,11,0,32.711,31,0,0,1
1677812837282,0,0,0,0,0,0,9,14.8393,56,0,0.646272,16,0,32.7528,31,0,0,1
1677812837532,12,7,0,0.004672,2,0,9,15.6792,106,0,1.52755,31,0,31.7572,31,4,6,1
1677812837782,13.4348,23,0,0.091584,7,0,9,15.5258,97,0,1.35242,28,0,32.0278,31,67,77,1
1677812838032,13.4524,42,0,0.270496,12,0,9,15.3966,58,0,0.787264,17,0,32.3156,31,206,222,1
1677812838282,12.8788,33,0,0.14,9,0,9,15.4615,78,140841,1.09507,23,0,31.9929,31,101,129,1
1677812838532,15.6429,14,0,0.207648,4,0,9,15.4493,138,0,1.8951,40,0,32.0102,31,145,173,1
1677812838782,12.4722,36,0,0.139008,11,0,9,14.6429,154,0,1.77997,44,0,32.8191,31,106,125,1
1677812839032,16.625,232,1287,3.41901,66,0,9,15.0778,90,0,0.910592,26,0,32.8606,31,2570,2681,1
1677812839282,16.4253,221,0,2.99094,59,0,9,13.5072,69,16507,0.240288,20,0,35.2621,31,2345,2600,1
1677812839532,17.1716,402,0,6.55056,115,0,9,15.7815,119,0,1.8303,34,0,31.4648,31,5002,5171,1
1677812839782,16.3477,279,0,4.32528,86,0,9,15.08,75,0,0.901696,22,0,32.4672,31,2951,3219,1
1677812840032,12.1622,37,63,0.095808,10,0,9,15.2787,61,0,0.60688,18,0,33.2438,31,69,93,1
1677812840282,14.2838,74,0,0.67696,22,0,9,14.019,105,0,0.722688,30,0,34.0235,31,506,558,1
1677812840532,15.0875,80,0,0.491712,16,0,9,0,0,0,0,0,0,0,0,658,749,0
1677812840782,16.5915,284,0,4.6417,88,0,9,15.3026,76,0,0.8728,22,0,32.6362,31,3138,3372,1
1677812841032,0,3,0,0.002336,1,0,9,15.0081,124,0,1.36646,36,0,33.0779,31,2,3,1
1677812841282,0,0,0,0,0,0,9,14.5679,81,0,0.7096,23,0,33.8388,31,0,0,1
1677812841532,15.9289,225,1287,2.70592,60,0,9,14.9688,128,0,1.64003,37,0,32.4178,31,2180,2422,1
1677812841782,17.4167,576,17429,9.48419,162,0,9,14.6778,90,0,0.97424,26,0,32.9328,31,7404,7525,1
1677812842032,17.9192,631,0,12.1449,188,0,9,14.9545,66,0,0.648992,19,0,33.0808,31,8914,8876,1
1677812842282,15.7719,114,0,1.24963,30,0,9,15.6186,118,0,1.59235,34,0,31.9837,31,1037,1151,1
1677812842532,15.8641,103,9525,1.55402,32,0,9,14.3026,76,0,0.679424,22,0,33.5937,31,1047,1195,1
1677812842782,16.6819,371,0,5.61402,107,0,9,14.9512,82,0,0.932256,24,0,32.6484,31,4181,4362,1
1677812843032,17.4031,382,0,6.55149,109,0,9,13.629,62,0,0.300896,18,0,34.9269,31,4990,5044,1
1677812843282,17.1511,278,1111,4.55875,78,0,9,14.45,80,0,0.673312,23,0,33.8497,31,3512,3670,1
1677812843532,16.4075,265,0,4.05107,78,0,9,13.7778,45,0,0.140192,13,0,35.4827,31,2935,3128,1
1677812843782,16.911,438,0,6.8936,122,0,9,12.8,55,0,0.142976,16,0,35.9134,31,5246,5546,1
1677812844032,17.1445,429,1100,6.79776,118,0,9,15.0485,103,0,1.1169,30,0,32.9891,31,5358,5583,1
1677812844282,16.8376,505,0,8.24246,149,0,9,13.3043,69,0,0.323648,20,0,35.1268,31,5900,6235,1
1677812844532,17.1329,414,0,6.89555,121,0,9,14.0556,108,0,0.812992,31,0,33.7974,31,5088,5298,1
1677812844782,16.4839,217,0,3.03168,59,0,9,13.3833,60,0,0.181984,17,0,35.2246,31,2360,2500,1
1677812845032,16.806,366,0,5.63187,106,0,9,14.5366,82,0,0.683072,24,0,33.9439,31,4157,4412,1
1677812845282,16.4459,388,0,5.30813,105,0,9,13.1695,59,0,0.158112,17,0,35.3972,31,4227,4581,1
1677812845532,17.5784,593,0,10.5826,173,0,9,12.3556,45,0,0.12368,13,0,35.726,31,7881,7992,1
1677812845782,16.6337,475,1287,7.1241,135,0,9,12.7805,41,0,0.124416,12,0,35.5779,31,5264,5631,1
1677812846032,16.8638,279,15600,3.9608,77,0,9,15.7235,170,0,2.5657,49,0,31.6736,31,3181,3363,1
1677812846282,17.3491,464,0,8.15619,138,0,9,14.6333,150,0,1.59936,43,0,33.1516,31,5877,6028,1
1677812846532,14.76,50,0,0.607104,17,0,9,12.5417,24,0,0.1,7,0,36.1605,31,345,398,1
1677812846782,15.2857,252,0,2.72678,71,0,9,13.5882,17,0,0.1,5,0,35.6544,31,1970,2279,1
1677812847032,15.4746,59,289,0.469856,14,0,9,14.6854,89,12074,0.828384,26,0,33.4856,31,544,618,1
1677812847282,16.1932,88,0,1.2568,26,0,9,15.3668,259,0,3.72525,74,0,31.9032,31,909,986,1
1677812847532,16.7942,413,1287,6.52723,119,0,9,14.0106,94,0,0.779648,27,0,33.7089,31,4827,5153,1
1677812847782,17.0218,275,0,4.6311,83,0,9,13.9278,97,0,0.786688,28,0,33.8886,31,3329,3444,1
1677812848032,15.9259,189,0,2.35066,50,0,9,15.0261,153,0,1.78048,44,0,32.7821,31,1845,2105,1
1677812848282,16.3636,352,0,5.04586,102,0,9,15.1826,115,0,1.23434,33,0,33.0574,31,3710,4011,1
1677812848532,16.9015,457,27010,6.86672,127,0,9,14.4819,83,0,0.701504,24,0,33.7609,31,5403,5666,1
1677812848782,17.8527,767,0,14.0644,220,0,9,13.7273,33,0,0.129856,10,0,34.9633,31,10661,10659,1
1677812849032,16.9293,410,0,6.88461,122,0,9,15.31,100,0,1.33971,29,0,32.1573,31,4901,5111,1
1677812849282,17.2139,187,0,2.76474,48,0,9,14.4416,77,0,0.721792,22,0,33.3161,31,2360,2434,1
1677812849532,17.1553,219,0,3.84842,66,0,9,13.0851,47,0,0.134848,14,0,35.8741,31,2747,2829,1
1677812849782,16.6774,279,0,3.99494,76,0,9,11.7647,17,0,0.1,5,0,36.4925,31,3118,3303,1
1677812850032,16.9519,291,0,4.99818,91,0,9,13.1538,13,0,0.1,4,0,35.6222,31,3468,3642,1
1677812850282,16.5,28,0,0.444288,8,0,9,0,0,0,0,0,0,0,0,323,359,0
1677812850532,0,3,0,0.001824,1,0,9,14.8269,52,0,0.621792,15,0,32.644,31,2,3,1
1677812850782,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812851032,12,7,0,0.009536,2,0,9,0,0,0,0,0,0,0,0,8,12,0
1677812851282,12,4,0,0.002336,1,0,9,0,0,0,0,0,0,0,0,2,3,0
1677812851532,0,0,0,0,0,0,9,15.8537,41,0,0.639808,12,0,31.451,31,0,0,1
1677812851782,0,0,0,0,0,0,9,12.1429,14,0,0.1,4,0,35.5535,31,0,0,1
1677812852032,0,0,0,0,0,0,9,12.1429,7,0,0.1,2,0,36.6013,0,0,0,1
1677812852282,12.4286,28,0,0.019712,8,0,9,0,0,0,0,0,0,0,0,17,24,0
1677812852532,0,3,0,0.002336,1,0,9,0,0,0,0,0,0,0,0,2,3,0
1677812852782,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812853032,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812853282,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1677812853532,0,0,0,0,0,0,9,15.9211,38,0,0.61312,11,0,31.2952,31,0,0,1
