Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667163580378,1,1010123456002,70,,1,1,18,1,1,,2.25,24,0,0.004736,7,0,6.33333,,11.6897,29,0,0.1,8,0,0,35.8689,31,,2,24,,0,0,0,1
1667163580628,1,1010123456002,70,,1,1,18,1,1,,2.6,15,0,0.004896,4,0,6.85714,,11.381,21,0,0.1,6,0,0,36.346,31,,0,15,,0,0,0,1
1667163580878,1,1010123456002,70,,1,1,18,1,1,,9,4,0,0.001824,1,0,6.83333,,11,7,0,0.1,2,0,0,36.717,31,,0,3,,0,0,0,1
1667163581128,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667163581378,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667163581628,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667163581878,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667163582128,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667163582378,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667163582628,1,1010123456002,70,,1,1,18,1,1,,7.8,15,0,0.011904,4,0,6.85714,,13.8571,28,0,0.1,8,0,0,35.8533,31,,0,24,,0,0,0,1
