Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667166389925,1,1010123456002,70,,1,1,18,1,1,,2.425,40,0,0.009152,10,0,9,,11.6222,45,0,0.129984,13,0,0,35.761,31,,1,39,,0,0,0,1
1667166390175,1,1010123456002,70,,1,1,18,1,1,,0,3,0,0.002176,2,0,8.83333,,10.6364,11,0,0.1,3,0,0,35.8251,31,,0,3,,0,0,0,1
1667166390425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166390675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166390925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166391175,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166391425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166391675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166391925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166392175,1,1010123456002,70,,1,1,18,1,1,,10.6364,11,0,0.008096,3,0,9,,13.6667,21,0,0.1,6,0,0,35.6429,31,,0,12,,0,0,0,1
1667166392425,1,1010123456002,70,,1,1,18,1,1,,18.3091,550,31858,3.67798,149,0,9,,14.7115,104,0,0.787808,30,0,0,33.8915,31,,6150,2784,,0,0,0,1
1667166392675,1,1010123456002,70,,1,1,18,1,1,,17.4057,875,41398,5.84685,250,0,8.71429,,12.949,98,0,0.139008,28,0,0,36.2876,31,,12500,4500,,0,0,0,1
1667166392925,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,31073,6.00147,250,0,8.83333,,13.9694,98,0,0.273792,28,0,0,35.2616,31,,12500,4500,,0,0,0,1
1667166393175,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,34600,6.28,250,0,9,,13.6224,98,0,0.192768,28,0,0,35.8625,31,,12500,4500,,0,0,0,1
1667166393425,1,1010123456002,70,,1,1,18,1,1,,17.7248,872,31793,6.00147,250,0,8.83333,,13.1633,98,171,0.145152,28,0,0,36.2492,31,,12500,4500,,0,0,0,1
1667166393675,1,1010123456002,70,,1,1,18,1,1,,16.2688,878,35864,5.44442,250,0,8.57143,,13.0105,95,0,0.130528,27,0,0,36.2775,31,,12500,4500,,0,0,0,1
1667166393925,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,40894,6.28,250,0,9,,13.3469,98,0,0.153344,28,0,0,36.3685,31,,12500,4500,,0,0,0,1
1667166394175,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,42917,6.28,250,0,9,,13.2857,98,0,0.151168,28,0,0,36.3445,31,,12500,4500,,0,0,0,1
1667166394425,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,47948,6.28,250,0,9,,13.3673,98,0,0.153344,28,0,0,36.0617,31,,12500,4500,,0,0,0,1
1667166394675,1,1010123456002,70,,1,1,18,1,1,,16.9943,875,47826,5.76448,250,0,8.71429,,13.1064,94,0,0.138976,27,0,0,36.1555,31,,12500,4500,,0,0,0,1
1667166394925,1,1010123456002,70,,1,1,18,1,1,,18.2377,875,32889,6.21037,250,0,8.83333,,13.6122,98,0,0.244864,28,0,0,35.5212,31,,12500,4500,,0,0,0,1
1667166395175,1,1010123456002,70,,1,1,18,1,1,,17.5429,875,38269,5.93184,250,0,8.83333,,13.1735,98,0,0.148608,28,0,0,36.1333,31,,12500,4500,,0,0,0,1
1667166395425,1,1010123456002,70,,1,1,18,1,1,,18.128,875,41226,6.0992,250,0,9,,13.1837,98,0,0.148608,28,0,0,36.0442,31,,12500,4500,,0,0,0,1
1667166395675,1,1010123456002,70,,1,1,18,1,1,,18.4587,872,26709,6.28,250,0,9,,13.3878,98,376,0.191488,28,0,0,35.6153,31,,12500,4500,,0,0,0,1
1667166395925,1,1010123456002,70,,1,1,18,1,1,,16.9977,878,23582,5.72294,250,0,8.66667,,13.1684,95,0,0.169056,27,0,0,36.0648,31,,12500,4500,,0,0,0,1
1667166396175,1,1010123456002,70,,1,1,18,1,1,,17.171,497,0,3.4832,150,0,8.83333,,13.303,66,0,0.125152,19,0,0,35.8478,31,,6968,2553,,0,0,0,1
1667166396425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166396675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166396925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166397175,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166397425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166397675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166397925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166398175,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166398425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166398675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166398925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166399175,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166399425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166399675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166399925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166400175,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166400425,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166400675,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166400925,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667166401175,1,1010123456002,70,,1,1,18,1,1,,13.9091,11,0,0.008224,3,0,9,,13.6667,21,0,0.1,6,0,0,35.7062,31,,9,9,,0,0,0,1
1667166401425,1,1010123456002,70,,1,1,18,1,1,,18.3745,550,31858,3.67811,149,0,9,,14.7115,104,0,0.787808,30,0,0,33.8134,31,,7709,2781,,0,0,0,1
1667166401675,1,1010123456002,70,,1,1,18,1,1,,17.6891,875,41489,6.00147,250,0,8.71429,,13.0612,98,0,0.142976,28,0,0,35.9932,31,,12500,4500,,0,0,0,1
1667166401925,1,1010123456002,70,,1,1,18,1,1,,17.0309,875,51483,5.72294,250,0,8.83333,,13.0612,98,0,0.141312,28,0,0,36.3303,31,,12500,4500,,0,0,0,1
