Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67E+12,0,0,0,0,0,0,8.83333,14.7857,14,146184,0.1,4,0,34.0292,31,0,0,1
1.67E+12,12.4507,71,0,0.172544,21,0,9,15.3019,159,0,2.02832,45,0,32.1172,31,107,168,1
1.67E+12,12.129,62,0,0.044992,18,0,9,15.4167,72,0,0.81824,20,0,32.3118,31,54,54,1
1.67E+12,11.4545,22,0,0.013568,6,0,9,12.8571,14,0,0.1,4,0,34.64,31,18,18,1
1.67E+12,12,4,0,0.002336,1,0,9,12.8571,7,0,0.1,2,0,35.4988,31,3,3,1
1.67E+12,12,7,0,0.016832,2,0,9,14.5714,7,0,0.1,2,0,34.974,31,8,21,1
1.67E+12,14.9737,38,0,0.106752,11,0,9,15.6304,46,0,0.607392,13,0,31.6887,31,58,93,1
1.67E+12,13.8108,37,0,0.0768,10,0,9,15.6742,132,582,1.82362,37,0,31.5542,31,43,75,1
1.67E+12,12.9118,34,0,0.023968,9,0,9,15.6684,196,140748,2.85744,56,0,31.4777,31,27,27,1
1.67E+12,13.5405,37,0,0.028224,10,0,9,15.6614,251,0,3.8096,72,0,31.1856,31,30,30,1
1.67E+12,14.1667,30,0,0.027168,9,0,8.85714,15.7308,208,0,3.13642,59,0,31.1644,31,27,27,1
1.67E+12,13.7826,23,0,0.020576,7,0,9,15.5466,161,4503,2.15533,45,0,31.6099,31,21,21,1
1.67E+12,13.0385,26,0,0.021376,8,0,9,15.6834,199,435,2.83558,56,0,31.2811,31,24,24,1
1.67E+12,13.0357,28,0,0.021504,8,0,9,15.7263,190,0,2.77459,54,0,31.3854,31,24,24,1
1.67E+12,0,27,0,0.023968,9,0,9,15.7982,223,0,3.32102,63,0,31.2817,31,27,27,1
1.67E+12,12.9048,21,0,0.015808,6,0,9,15.6867,166,2759,2.31408,47,0,31.6475,31,18,18,1
1.67E+12,13.5,40,0,0.030688,11,0,9,15.4872,156,3671,2.10723,44,0,31.7541,31,33,33,1
1.67E+12,13.375,24,0,0.016576,6,0,9,15.4044,183,0,2.49392,52,0,31.7549,31,21,21,1
1.67E+12,14.2727,33,0,0.026272,9,0,9,15.5916,191,0,2.70509,54,0,31.4814,31,27,27,1
1.67E+12,13.6111,18,0,0.014368,5,0,8.83333,15.7228,184,2759,2.65808,52,0,31.3405,31,15,15,1
1.67E+12,12.9167,24,0,0.01904,7,0,9,15.5903,144,5483,1.93318,41,0,31.8041,31,21,21,1
1.67E+12,13.96,25,0,0.02304,8,0,9,15.5882,170,0,2.36074,48,0,31.5705,31,21,21,1
1.67E+12,13.0833,24,0,0.018656,7,0,9,15.4952,105,0,1.36733,30,0,31.7734,31,21,21,1
1.67E+12,13.4762,21,0,0.017088,6,0,9,15.8667,285,0,4.42154,80,0,30.8902,31,18,18,1
1.67E+12,13.6522,23,0,0.017216,6,0,9,15.7543,232,0,3.42506,66,0,31.3086,31,18,18,1
1.67E+12,13.9412,17,0,0.015008,5,0,8.83333,15.8814,253,0,3.99037,72,0,31.0294,31,15,15,1
1.67E+12,13.44,25,0,0.019424,7,0,9,15.8527,258,142368,3.90416,73,0,31.0994,31,21,21,1
1.67E+12,14.3462,26,0,0.021536,7,0,9,15.7953,215,4503,3.14918,61,0,31.2051,31,21,21,1
1.67E+12,12.5806,31,0,0.023456,9,0,9,15.822,236,0,3.60749,67,0,31.0792,31,27,27,1
1.67E+12,13.5385,26,0,0.019936,7,0,9,15.8088,204,0,3.12726,59,0,31.1607,31,21,21,1
1.67E+12,15.8455,110,0,0.437952,27,0,9,15.7193,228,0,3.38765,65,0,31.2605,31,556,381,1
1.67E+12,16.4757,309,433,1.5145,87,0,9,15.6069,262,2927,3.85114,74,0,31.28,31,1348,1263,1
1.67E+12,17.3861,303,0,1.99949,92,0,9,15.7543,293,0,4.35043,83,0,31.2299,31,2298,1416,1
1.67E+12,17.8395,324,0,2.11616,93,0,9,15.83,253,3831,3.82589,72,0,31.1302,31,2946,1575,1
1.67E+12,17.3212,330,1131,1.97299,95,0,9,15.6753,271,0,4.06154,77,0,31.362,31,2255,1515,1
1.67E+12,17.9517,290,6011,1.70112,75,0,9,15.7228,267,6879,3.87168,76,0,31.291,31,2601,1404,1
1.67E+12,17.1945,365,0,2.29258,111,0,9,15.72,275,0,4.04634,78,0,31.2589,31,2287,1656,1
1.67E+12,16.9341,349,0,2.0543,102,0,9,15.872,289,137025,4.48941,82,0,31.0348,31,2245,1575,1
1.67E+12,17.5615,301,0,1.89194,84,0,9,15.6144,306,0,4.66029,87,0,31.2753,31,2836,1413,1
1.67E+12,16.1115,314,0,1.6104,92,0,8.83333,15.7992,264,6879,3.99299,75,0,31.1693,31,1884,1299,1
1.67E+12,17.8699,369,2192,2.36883,100,0,9,15.6978,278,1893,4.28384,79,0,31.0184,31,3669,1845,1
1.67E+12,17.4286,287,8232,1.67578,79,0,9,15.5977,266,7002,3.96941,75,0,31.1122,31,2441,1317,1
1.67E+12,17.4529,329,103,2.22842,102,0,9,15.7743,257,0,3.81974,73,0,31.2632,31,2285,1539,1
1.67E+12,16.8333,390,0,2.05629,109,0,9,15.8295,305,8379,4.71181,86,0,31.0147,31,2086,1593,1
1.67E+12,17.659,305,615,1.90605,86,0,9,15.6588,296,1132,4.4825,84,0,31.1067,31,2891,1455,1
1.67E+12,16.1003,359,0,2.00246,104,0,8.83333,15.7082,281,2668,4.29619,80,0,31.1966,31,1920,1593,1
1.67E+12,17.2252,333,2852,1.9343,94,0,9,15.5088,283,1552,4.12694,80,0,31.3235,31,2616,1500,1
1.67E+12,16.4213,375,0,2.1647,107,0,8.83333,15.803,269,6879,4.1153,76,0,31.0161,31,3236,1689,1
1.67E+12,17.0167,300,3028,1.5464,85,0,9,15.8179,313,0,4.82131,89,0,31.0809,31,1833,1203,1
1.67E+12,16.898,392,0,2.23955,113,0,9,15.4811,264,0,3.93203,75,0,31.1515,31,1920,1680,1
1.67E+12,17.8465,404,861,2.50666,109,0,9,15.8253,292,0,4.47338,83,0,31.0708,31,4008,1971,1
1.67E+12,17.2075,371,0,2.35037,112,0,9,15.8393,280,943,4.33882,80,0,31.0775,31,2490,1683,1
1.67E+12,17.5372,309,0,1.96848,88,0,9,15.537,257,2592,3.82938,73,0,31.1685,31,2849,1464,1
1.67E+12,17.9752,444,1354,2.7815,121,0,9,15.75,276,0,4.10842,79,0,31.1861,31,4349,2151,1
1.67E+12,17.4028,360,6489,2.2552,103,0,9,15.6227,273,0,4.21005,78,0,31.0502,31,2900,1713,1
1.67E+12,17.6723,357,11493,2.24925,100,0,9,15.8708,271,6879,4.29936,77,0,31.0404,31,2982,1719,1
1.67E+12,17.1276,431,0,2.76333,129,0,8.83333,15.808,276,2661,4.22438,79,0,31.0991,31,3903,2034,1
1.67E+12,17.2626,377,3817,2.2121,108,0,8.8,15.6016,251,0,3.86282,71,0,31.0977,31,2942,1695,1
1.67E+12,15.1182,457,0,2.37123,127,0,8.28571,15.8521,257,0,4.06634,73,0,30.8319,31,3343,1971,1
1.67E+12,17.6964,392,2064,2.38224,109,0,9,15.7681,276,14599,4.14246,78,0,31.1924,31,3578,1845,1
1.67E+12,17.7806,351,0,2.52666,107,0,9,15.638,326,0,4.92826,93,0,31.2276,31,3508,1740,1
1.67E+12,17.2032,374,0,2.2913,107,0,9,15.7953,254,0,3.84573,72,0,31.1222,31,2669,1728,1
1.67E+12,17.247,421,0,2.47174,118,0,9,15.5339,221,0,3.1111,63,0,31.4793,31,2976,1917,1
1.67E+12,17.3806,268,0,1.62522,75,0,8.83333,15.7938,291,0,4.36083,83,0,31.1853,31,2550,1218,1
1.67E+12,15.4231,182,0,0.768608,56,0,9,15.7179,234,3107,3.38931,67,0,31.4109,31,604,624,1
1.67E+12,15.8853,157,0,0.653408,43,0,9,15.4512,215,582,2.81059,61,0,31.8425,31,439,558,1
1.67E+12,15.3842,177,0,0.724832,52,0,8.71429,15.7593,241,0,3.7161,69,0,31.1203,31,613,612,1
1.67E+12,14.3726,204,0,0.729376,55,0,9,15.6518,247,0,3.49619,69,0,31.3485,31,496,630,1
1.67E+12,15.1304,161,0,0.713696,50,0,9,15.6827,208,1107,2.94886,59,0,31.5563,31,387,609,1
1.67E+12,16.2941,238,0,0.962464,67,0,9,15.8136,236,0,3.52822,67,0,31.1867,31,677,777,1
1.67E+12,16.407,172,0,0.85344,50,0,9,15.3991,218,0,2.99536,62,0,31.5396,31,711,681,1
1.67E+12,14.8667,225,0,0.891328,62,0,9,15.8506,261,146853,4.00829,74,0,31.1071,31,544,759,1
1.67E+12,15.7005,207,0,0.840416,54,0,9,15.6773,251,0,3.63552,72,0,31.388,31,736,816,1
1.67E+12,17.9222,270,0,1.83786,79,0,9,15.7194,253,0,3.82112,72,0,31.1657,31,2884,1317,1
1.67E+12,16.7912,297,0,1.79654,90,0,9,15.7266,267,0,3.92496,76,0,31.2448,31,1636,1362,1
1.67E+12,17.015,333,0,2.06781,95,0,9,15.4978,229,0,3.35802,65,0,31.3105,31,2007,1590,1
1.67E+12,16.3247,348,0,1.91488,96,0,8.83333,15.7437,238,0,3.5247,67,0,31.2418,31,2351,1599,1
1.67E+12,16.0522,345,0,1.89715,99,0,9,15.7552,241,0,3.5825,68,0,31.2199,31,1704,1527,1
1.67E+12,16.5174,288,0,1.67034,86,0,8.85714,15.6583,240,0,3.3919,68,0,31.4244,31,1970,1314,1
1.67E+12,17.0417,384,0,2.25347,110,0,9,15.8047,297,0,4.3951,86,4.65116,29.7206,31,2269,1752,1.39394
1.67E+12,16.8037,270,0,1.46794,77,0,8.83333,15.5492,244,2490,3.50381,70,0,31.3337,31,1640,1155,1
1.67E+12,17.0385,390,0,2.41309,112,0,9,15.3939,264,0,3.92259,76,0,31.4947,31,3422,1881,1
1.67E+12,16.9143,432,0,2.32413,121,0,9,15.6821,280,0,4.13254,80,0,31.2495,31,2258,1833,1
1.67E+12,17.1702,282,7459,1.66541,80,0,9,15.8264,288,140748,4.45715,83,0,31.0422,31,2095,1287,1
1.67E+12,16.2233,318,0,1.83066,94,0,8.83333,15.6678,286,1077,4.14499,82,0,31.2749,31,1844,1443,1
1.67E+12,17.0858,478,0,2.81104,135,0,9,15.6795,259,0,3.87158,74,0,31.1966,31,3203,2157,1
1.67E+12,17.6751,357,473,2.27517,97,0,8.85714,15.75,248,0,3.68886,71,0,31.2614,31,3779,1752,1
1.67E+12,16.2177,395,0,2.27648,116,0,8.83333,15.6245,261,0,3.66275,75,0,31.3748,31,2336,1782,1
1.67E+12,16.8424,311,6072,1.6392,82,0,9,14.9277,235,0,3.39158,68,0,31.5046,31,2157,1374,1
1.67E+12,18.0354,480,0,3.37165,144,0,9,15.7154,253,139173,3.66794,73,0,31.4789,31,4926,2319,1
1.67E+12,17.4769,390,0,2.30451,109,0,9,15.75,240,137907,3.61398,69,0,30.991,31,2857,1758,1
1.67E+12,17.2536,347,0,2.23472,103,0,9,15.4919,246,6879,3.74154,71,0,31.1208,31,2451,1656,1
1.67E+12,16.9335,421,1774,2.53261,119,0,8.83333,15.6111,252,3568,3.62086,72,0,31.2766,31,3495,1980,1
1.67E+12,17.9507,345,0,2.26675,96,0,9,15.5054,279,0,3.90742,80,0,31.4784,31,3094,1719,1
1.67E+12,17.0964,415,8380,2.48544,118,0,9,15.5227,264,0,3.8577,76,0,31.3402,31,2970,1881,1
1.67E+12,17.7048,454,0,2.82589,125,0,9,15.6667,273,5597,4.08266,79,0,31.2128,31,4163,2169,1
1.67E+12,17.9625,400,2732,2.80579,117,0,9,15.5809,272,1824,3.90784,78,0,31.3654,31,4373,2001,1
1.67E+12,17.4565,414,0,2.50205,123,0,9,15.7782,266,0,4.05395,76,0,31.0603,31,2593,1818,1
1.67E+12,17.7193,456,1630,2.80893,122,0,9,15.5258,310,1113,4.43891,88,0,31.3915,31,4215,2238,1
1.67E+12,16.7704,453,0,2.89962,134,0,8.83333,15.8116,276,0,4.27382,79,0,31.0082,31,4475,2133,1
1.67E+12,17.4612,425,0,2.49066,118,0,9,15.4812,266,2365,3.87875,76,0,31.3747,31,2932,1962,1
1.67E+12,17.8971,379,9532,2.40726,108,0,9,15.8372,301,142749,4.57725,86,0,31.0929,31,3627,1776,1
1.67E+12,17.3828,465,1320,3.05187,135,0,8.85714,15.6811,254,0,3.81565,74,0,31.3391,31,4179,2289,1
1.67E+12,16.5403,422,0,2.58582,127,0,8.66667,15.7226,310,0,4.84112,89,0,30.9244,31,3254,1941,1
1.67E+12,17.657,414,0,2.65888,118,0,9,15.6477,281,0,4.27165,81,0,31.1146,31,3647,1992,1
1.67E+12,17.3545,488,0,2.91171,131,0,9,15.7645,293,0,4.55069,84,0,31.1151,31,4024,2325,1
1.67E+12,17.8681,326,0,2.39562,101,0,9,15.6388,263,0,3.92848,76,0,31.3088,31,3337,1635,1
1.67E+12,18.0316,475,7555,2.95165,128,0,9,15.7987,318,0,4.83734,90,0,31.0553,31,5190,2289,1
1.67E+12,16.1905,525,685,2.98627,150,0,8.66667,15.6151,265,2343,3.84262,76,0,31.4126,31,3960,2445,1
1.67E+12,17.7591,411,1334,2.66432,117,0,9,15.8421,266,0,4.03866,76,0,31.1607,31,4109,1974,1
1.67E+12,17.2,350,0,2.39341,108,0,8.85714,15.8339,313,0,4.76022,90,0,31.0819,31,3304,1674,1
1.67E+12,17.3606,452,0,2.8713,129,0,9,15.829,269,8379,4.24534,78,0,30.9597,31,3692,2184,1
1.67E+12,17.6358,453,3371,2.86426,126,0,9,15.9116,294,2405,4.71366,84,0,30.9383,31,4222,2166,1
1.67E+12,17.9064,374,9416,2.32742,102,0,9,15.8164,305,8442,4.66221,87,0,31.102,31,3691,1845,1
1.67E+12,17.6936,434,0,3.02138,132,0,9,15.9271,288,0,4.71517,83,0,30.7689,31,3630,2106,1
1.67E+12,17.9657,437,0,2.90176,122,0,9,15.8123,325,3568,5.06403,93,0,30.9886,31,4347,2190,1
1.67E+12,17.839,385,3660,2.57747,110,0,9,15.8131,305,0,4.78957,87,0,30.9794,31,4057,1863,1
1.67E+12,17.3396,424,4206,2.53232,122,0,9,15.6942,278,0,4.31779,80,0,31.1993,31,2794,1905,1
1.67E+12,17.1457,460,0,2.92976,130,0,8.85714,15.7793,290,0,4.61446,83,0,31.0268,31,4360,2238,1
1.67E+12,17.9474,399,3917,2.40778,110,0,9,15.8589,241,14599,3.72205,69,0,31.0316,31,4370,1848,1
1.67E+12,17.512,416,0,2.82554,124,0,9,15.828,314,2621,4.9039,90,0,30.9688,31,3593,2028,1
1.67E+12,17.6921,406,0,2.56448,118,0,9,15.7531,320,4201,4.86598,92,0,31.1298,31,3804,1881,1
1.67E+12,17.3271,431,0,2.78685,122,0,8.85714,15.7249,269,0,4.2929,77,0,30.9817,31,4960,2127,1
1.67E+12,17.3243,407,3187,2.3935,113,0,9,15.7709,323,0,4.9617,93,0,31.1671,31,3125,1902,1
1.67E+12,17.7357,454,1283,2.8672,127,0,9,15.866,306,2592,4.84426,88,0,31.009,31,4468,2175,1
1.67E+12,16.8327,496,804,2.97274,142,0,8.83333,15.9016,305,4971,4.86755,87,0,30.7941,31,4102,2313,1
1.67E+12,16.172,436,0,2.69101,131,0,8.57143,15.935,277,0,4.51677,80,0,30.7389,31,4165,2064,1
1.67E+12,17.5732,403,3092,2.46499,110,0,9,15.8367,294,1660,4.58534,84,0,30.9889,31,3378,1962,1
1.67E+12,16.9284,433,98,2.88176,131,0,8.8,15.7558,303,0,4.66077,87,0,31.0257,31,3745,2112,1
1.67E+12,17.7918,389,0,2.44458,109,0,9,15.8067,300,4819,4.66806,86,0,30.9965,31,3546,1860,1
1.67E+12,17.489,454,0,2.83875,132,0,9,15.8228,254,0,3.98928,73,0,30.996,31,3698,2082,1
1.67E+12,17.545,433,0,2.74957,123,0,9,15.8013,307,0,4.69418,88,0,31.1312,31,3684,2070,1
1.67E+12,17.453,415,2322,2.47894,112,0,8.83333,15.9387,310,0,5.09398,89,0,30.7037,31,4371,2013,1
1.67E+12,17.4914,407,0,2.76954,124,0,9,15.684,288,0,4.50378,83,0,31.0521,31,3489,1935,1
1.67E+12,16.481,474,0,2.73779,135,0,8.85714,15.7143,252,0,3.85376,72,0,31.1061,31,3625,2214,1
1.67E+12,15.2889,45,0,0.175008,13,0,9,14.1429,14,0,0.1,4,0,34.7303,31,216,138,1
1.67E+12,12.8571,7,0,0.005312,2,0,9,12.1429,7,0,0.1,2,0,35.6455,31,6,6,1
1.67E+12,12,13,0,0.021504,4,0,9,12.5417,24,0,0.1,7,0,35.3375,31,14,27,1
1.67E+12,12,11,0,0.004672,2,0,9,14.4286,7,0,0.1,2,0,34.1138,31,9,9,1
1.67E+12,15.5873,63,0,0.207264,19,0,9,14.1667,42,0,0.164608,12,0,34.9511,31,223,159,1
1.67E+12,0,6,0,0.005312,2,0,9,14.4286,7,0,0.1,2,0,34.6607,31,6,6,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,35.0716,31,3,3,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,34.8443,31,3,3,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,36.0666,31,3,3,1
1.67E+12,0,3,0,0.002336,1,0,8.83333,12.1429,7,0,0.1,2,0,36.7068,31,3,3,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,34.718,31,3,3,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,35.0999,31,3,3,1
1.67E+12,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,8,4,0,0.001568,1,0,9,13.2857,7,0,0.1,2,0,35.1128,31,3,3,1
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,12,4,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,36.7297,31,3,3,1
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,3,0,0.001824,1,0,8.83333,0,3,0,0.1,1,0,0,31,3,3,0
1.67E+12,13.8462,26,0,0.023232,8,0,9,13.4839,31,0,0.115616,9,0,35.1835,31,24,24,1
1.67E+12,10.5714,7,0,0.01312,2,0,9,11.7692,13,0,0.1,4,0,34.9717,31,7,21,1
1.67E+12,0,0,0,0,0,0,8.85714,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,10.8571,14,0,0.009024,4,0,9,13.5714,14,0,0.1,4,0,35.4121,31,12,12,1
1.67E+12,11.9412,17,0,0.020768,5,0,9,13.2857,14,0,0.1,4,0,34.9479,31,16,30,1
1.67E+12,0,3,0,0.002976,1,0,9,11.5714,7,0,0.1,2,0,35.504,31,3,3,1
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,3,0,0.00336,1,0,8.85714,0,0,0,0,0,0,0,0,0,3,0
1.67E+12,14,4,0,0.002976,1,0,8.83333,13,14,0,0.1,4,0,35.8888,31,0,3,1
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,15.6786,28,0,0.098368,6,0,9,13.9714,35,0,0.309856,10,0,33.4122,31,0,99,1
1.67E+12,15.6879,157,0,0.805632,47,0,9,14.8,55,0,0.500768,16,0,33.0886,31,98,615,1
1.67E+12,0,3,0,0.002336,1,0,9,13.2857,14,0,0.1,4,0,35.3558,31,3,3,1
1.67E+12,13.1094,64,0,0.113952,18,0,9,15.6311,122,0,1.82986,35,0,31.1054,31,90,117,1
1.67E+12,12.9318,44,0,0.088544,13,0,9,15.1458,48,0,0.592384,14,0,32.4361,31,58,84,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,35.6725,31,3,3,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,35.314,31,3,3,1
1.67E+12,0,0,0,0,0,0,9,12.1429,7,0,0.1,2,0,37.494,31,0,0,1
1.67E+12,0,3,0,0.002336,1,0,8.83333,0,3,0,0.1,1,0,0,31,3,3,0
1.67E+12,0,3,0,0.002336,1,0,9,10,4,0,0.1,1,0,39.3163,0,3,3,1
1.67E+12,0,3,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,37.2938,31,3,3,1
1.67E+12,12,4,0,0.002336,1,0,9,12.1429,7,0,0.1,2,0,34.8828,31,3,3,1
1.67E+12,0,0,0,0,0,0,9,0,3,0,0.1,1,0,0,31,0,0,0
1.67E+12,0,6,0,0.002336,1,0,9,12.8182,11,0,0.1,3,0,35.8872,31,6,6,1
