Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667401587967,1,1010123456002,70,,1,1,18,1,1,,2.57143,14,0,0.003104,4,0,8,,11.5714,14,0,0.1,4,0,0,36.0096,31,,1,15,,0,0,0,1
1667401588217,1,1010123456002,70,,1,1,18,1,1,,3.04348,23,0,0.006304,6,0,7.83333,,11.4571,35,0,0.1,10,0,0,36.0506,31,,0,21,,0,0,0,1
1667401588467,1,1010123456002,70,,1,1,18,1,1,,9,4,0,0.001824,1,0,7.85714,,11,7,0,0.1,2,0,0,37.7224,31,,0,3,,0,0,0,1
1667401588717,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667401588967,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667401589217,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667401589467,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667401589717,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667401589967,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667401590217,1,1010123456002,70,,1,1,18,1,1,,10.5,8,0,0.00608,2,0,7.83333,,13.6667,21,0,0.1,6,0,0,36.3922,31,,0,9,,0,0,0,1
1667401590467,1,1010123456002,70,,1,1,18,1,1,,13.782,445,37693,2.09904,119,0,8,,14.4894,94,234,0.670496,27,0,0,34.29,31,,4550,2229,,0,0,0,1
1667401590717,1,1010123456002,70,,1,1,18,1,1,,13.2457,875,21066,4.22995,250,0,7.66667,,13.7684,95,0,0.194016,27,0,0,36.0035,31,,12500,4500,,0,0,0,1
1667401590967,1,1010123456002,70,,1,1,18,1,1,,13.2457,875,14965,4.22995,250,0,7.66667,,13.4592,98,0,0.185088,28,0,0,35.9898,31,,12500,4500,,0,0,0,1
1667401591217,1,1010123456002,70,,1,1,18,1,1,,13.2457,875,8863,4.22995,250,0,7.66667,,13.1531,98,0,0.16448,28,0,0,36.1578,31,,12500,4500,,0,0,0,1
1667401591467,1,1010123456002,70,,1,1,18,1,1,,13.5657,875,9958,4.38458,250,0,7.85714,,12.7143,98,0,0.154112,28,0,0,36.3801,31,,12496,4500,,0,0,0,1
1667401591717,1,1010123456002,70,,1,1,18,1,1,,13.7851,861,3264,4.39494,246,0,8,,13.0426,94,0,0.142432,27,0,0,36.2141,31,,9845,4386,,0,0,0,1
1667401591967,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,10054,4.5392,250,0,8,,12.5918,98,0,0.1152,28,0,0,36.8795,31,,12279,4500,,0,0,0,1
1667401592217,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,6319,4.5392,250,0,8,,13.398,98,0,0.183424,28,0,0,35.9963,31,,12188,4500,,0,0,0,1
1667401592467,1,1010123456002,70,,1,1,18,1,1,,13.7719,855,4880,4.35946,245,0,8,,13.0612,98,0,0.152704,28,0,0,36.1498,31,,8925,4314,,0,0,0,1
1667401592717,1,1010123456002,70,,1,1,18,1,1,,13.8889,864,4384,4.4007,246,0,8,,13.1122,98,125,0.153216,28,0,0,36.5728,31,,10770,4395,,0,0,0,1
1667401592967,1,1010123456002,70,,1,1,18,1,1,,13.2223,868,2225,4.15206,248,0,7.66667,,13.0421,95,0,0.142688,27,0,0,36.2298,31,,10883,4431,,0,0,0,1
1667401593217,1,1010123456002,70,,1,1,18,1,1,,13.8491,868,6863,4.46502,248,0,8,,12.6429,98,0,0.13376,28,0,0,36.323,31,,10843,4440,,0,0,0,1
1667401593467,1,1010123456002,70,,1,1,18,1,1,,13.4505,868,6231,4.24726,248,0,7.85714,,13.2041,98,0,0.153472,28,0,0,36.3281,31,,9981,4389,,0,0,0,1
1667401593717,1,1010123456002,70,,1,1,18,1,1,,13.2457,875,7847,4.22355,250,0,7.66667,,12.9286,98,0,0.145408,28,0,0,36.5009,31,,11779,4494,,0,0,0,1
1667401593967,1,1010123456002,70,,1,1,18,1,1,,13.2423,875,305,4.2279,250,0,7.66667,,12.6596,94,0,0.124384,27,0,0,36.2805,31,,11888,4500,,0,0,0,1
1667401594217,1,1010123456002,70,,1,1,18,1,1,,13.5569,571,4752,2.82211,163,0,8,,12.9178,73,0,0.133664,21,0,0,36.5224,31,,5628,2847,,0,0,0,1
1667401594467,1,1010123456002,70,,1,1,18,1,1,,13.5657,875,13365,4.38458,250,0,7.85714,,12.4592,98,67,0.110464,28,0,0,36.5532,31,,11997,4500,,0,0,0,1
1667401594717,1,1010123456002,70,,1,1,18,1,1,,13.5657,875,8447,4.38458,250,0,7.83333,,13.0211,95,0,0.15216,27,0,0,36.0152,31,,12492,4500,,0,0,0,1
1667401594967,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,15236,4.5392,250,0,8,,12.5918,98,0,0.1152,28,0,0,36.6874,31,,12455,4500,,0,0,0,1
1667401595217,1,1010123456002,70,,1,1,18,1,1,,13.5545,871,4312,4.38253,250,0,7.83333,,13.1837,98,0,0.187136,28,0,0,35.8382,31,,11559,4458,,0,0,0,1
