Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67E+12,0,3,0,0.001024,1,0,0.1,0.1,4,0,0.1,1,0,32.7945,0,0,3,1
1.67E+12,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,2.0625,16,0,0.00292369,5,0,7.8,11.7857,28,0,0.1,8,0,35.5127,31,0,15,1
1.67E+12,10.9792,48,0,0.116498,12,0,7.83333,15.5862,58,0,0.765108,16,0,32.338,31,0,174,1
1.67E+12,9.66667,24,0,0.042464,9,0,8,15.8478,92,0,1.44445,26,0,31.6357,31,0,33,1
1.67E+12,12.25,32,0,0.11608,9,0,8,15.6296,54,0,0.747984,15,0,32.1701,31,0,126,1
1.67E+12,0,3,0,0.002848,1,0,7.85714,15.8202,89,0,1.304,25,0,31.9192,31,0,6,1
1.67E+12,0,0,0,0,0,0,7.66667,15.3538,65,0,0.759264,18,0,32.6578,31,0,0,1
1.67E+12,0,0,0,0,0,0,7.83333,15.7609,46,142368,0.66752,13,0,32.0116,31,0,0,1
1.67E+12,0,0,0,0,0,0,8,15.875,152,0,2.30547,43,0,31.6868,31,0,0,1
1.67E+12,0,0,0,0,0,0,7.85714,15.4598,87,0,1.10378,24,0,32.3197,31,0,0,1
1.67E+12,0,0,0,0,0,0,7.83333,15.7805,82,0,1.1981,23,0,31.7748,31,0,0,1
1.67E+12,0,0,0,0,0,0,7.83333,15,4,0,0.1,1,0,34.6207,31,0,0,1
1.67E+12,11.725,40,0,0.103776,11,0,7.83333,15.7167,60,0,0.8584,17,0,31.8047,31,0,132,1
1.67E+12,0,0,0,0,0,0,7.85714,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.71429,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,10.931,29,0,0.017728,8,0,7.83333,15.7647,102,0,1.54333,29,0,31.7134,31,18,24,1
1.67E+12,10.3333,18,0,0.026304,5,0,8,14.4,10,0,0.1,3,0,36.3562,31,19,30,1
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.85714,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.71429,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.57143,0,0,0,0,0,0,0,0,0,0,0
