Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67E+12,0,0,0,0,0,0,8,13.8,10,0,0.1,3,0,36.0364,31,0,0,1
1.67E+12,10,20,0,0.01856,6,0,7.5,13.8857,35,57,0.114752,10,0,35.3565,31,0,27,1
1.67E+12,9.5679,81,0,0.0768,21,0,8,13.339,59,0,0.24464,17,0,35.1237,31,0,117,1
1.67E+12,9.85,60,0,0.058304,18,0,8,13.7292,48,0,0.246528,14,0,34.6639,31,32,87,1
1.67E+12,11.1212,33,0,0.03328,9,0,7.83333,13.8571,14,0,0.1,4,0,35.7878,31,29,42,1
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.66667,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.85714,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,11.7413,143,0,0.387392,40,0,7.83333,15.25,128,0,1.63747,37,0,32.3213,31,535,429,1
1.67E+12,12.6328,354,173507,1.35763,93,0,7.85714,15.2353,85,0,1.02394,25,0,32.684,31,4407,1671,1
1.67E+12,13.5657,875,37785,4.38458,250,0,7.83333,15.9211,38,0,0.598624,11,0,31.3685,31,12500,4500,1
1.67E+12,13.8866,238,0,1.36538,76,0,7.83333,0,0,0,0,0,0,0,0,3184,1209,0
1.67E+12,0,0,0,0,0,0,8,15.9211,38,0,0.598624,11,0,31.5511,31,0,0,1
1.67E+12,0,0,0,0,0,0,7.85714,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,12.0877,57,8566,0.048,8,0,7.66667,15.8125,48,125,0.711776,14,0,31.7309,31,518,198,1
1.67E+12,12.3644,236,0,0.8968,75,0,8,15.6223,188,0,2.70355,54,0,31.872,31,1112,795,1
1.67E+12,0,0,0,0,0,0,7.85714,0,0,0,0,0,0,0,0,0,0,0
1.67E+12,12.7455,110,0,0.331456,30,0,7.83333,13.8533,75,0,0.641664,22,0,33.9542,31,535,342,1
1.67E+12,11.7417,120,0,0.314784,34,0,7.83333,15.6467,150,0,2.05494,43,0,32.169,31,379,348,1
1.67E+12,12.4,265,0,0.93904,77,0,7.83333,14.9072,97,0,0.931456,28,0,33.2246,31,1282,1020,1
1.67E+12,11.0395,76,0,0.197856,22,0,7.85714,15.3711,97,0,1.32013,28,0,32.2524,31,292,216,1
