Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667511086684,1,1010123456002,70,,1,1,18,1,1,,2.57143,14,0,0.00208,3,0,8,,12.6,10,0,0.1,3,0,0,33.5365,31,,1,15,,0,0,0,1
1667511086934,1,1010123456002,70,,1,1,18,1,1,,3.04348,23,0,0.007328,7,0,8,,11.2051,39,0,0.1,11,0,0,35.2477,31,,0,21,,0,0,0,1
1667511087184,1,1010123456002,70,,1,1,18,1,1,,0,3,0,0.001824,1,0,8.5,,11,7,0,0.1,2,0,0,34.7743,31,,0,3,,0,0,0,1
1667511087434,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511087684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511087934,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511088184,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511088434,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511088684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511088934,1,1010123456002,70,,1,1,18,1,1,,12,4,0,0.002336,1,0,8.16667,,13.2857,7,0,0.1,2,0,0,34.4796,31,,0,3,,0,0,0,1
1667511089184,1,1010123456002,70,,1,1,18,1,1,,13.375,144,13429,0.50736,33,0,8,,14.6027,73,0,0.633184,21,0,0,31.4118,31,,200,654,,0,0,0,1
1667511089434,1,1010123456002,70,,1,1,18,1,1,,14.6171,875,16028,4.79117,250,0,8.14286,,14.0408,98,376,0.244992,28,0,0,33.5484,31,,12500,4500,,0,0,0,1
1667511089684,1,1010123456002,70,,1,1,18,1,1,,14.8766,875,11062,4.88736,250,0,8.33333,,13.0316,95,0,0.14256,27,0,0,34.9577,31,,12500,4500,,0,0,0,1
1667511089934,1,1010123456002,70,,1,1,18,1,1,,15.0891,875,21544,5.05318,250,0,8.16667,,12.9184,98,0,0.13248,28,0,0,34.88,31,,12500,4500,,0,0,0,1
1667511090184,1,1010123456002,70,,1,1,18,1,1,,14.6171,875,24143,4.81773,250,0,8.16667,,12.7245,98,0,0.122496,28,0,0,35.0007,31,,12500,4500,,0,0,0,1
1667511090434,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,30933,4.5392,250,0,8,,12.5918,98,0,0.1152,28,0,0,35.1956,31,,12500,4500,,0,0,0,1
1667511090684,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,25695,4.5392,250,0,8,,12.5319,94,0,0.109024,27,0,0,34.8226,31,,12500,4500,,0,0,0,1
1667511090934,1,1010123456002,70,,1,1,18,1,1,,15.3486,875,32554,5.1128,251,0,8.33333,,12.8776,98,0,0.128128,28,0,0,34.9052,31,,12550,4518,,0,0,0,1
1667511091184,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,33330,4.5392,250,0,8,,12.5918,98,0,0.1152,28,0,0,35.0608,31,,12500,4500,,0,0,0,1
1667511091434,1,1010123456002,70,,1,1,18,1,1,,15.3486,875,42833,5.07971,249,0,8.28571,,12.8878,98,0,0.129792,28,0,0,35.1864,31,,12450,4482,,0,0,0,1
1667511091684,1,1010123456002,70,,1,1,18,1,1,,14.1451,875,40556,4.58227,250,0,8.16667,,12.551,98,125,0.1152,28,0,0,35.2937,31,,12500,4500,,0,0,0,1
1667511091934,1,1010123456002,70,,1,1,18,1,1,,14.3577,875,38691,4.77466,250,0,8,,12.6105,95,0,0.115424,27,0,0,34.9109,31,,12500,4500,,0,0,0,1
1667511092184,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,45480,4.5392,250,0,8,,12.5612,98,0,0.115584,28,0,0,35.3708,31,,12500,4500,,0,0,0,1
1667511092434,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,49263,4.5392,250,0,8,,12.4592,98,0,0.112128,28,0,0,35.117,31,,12500,4500,,0,0,0,1
1667511092684,1,1010123456002,70,,1,1,18,1,1,,15.3486,875,52182,5.09626,250,0,8.33333,,12.7755,98,0,0.126336,28,0,0,34.7788,31,,12500,4500,,0,0,0,1
1667511092934,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,49951,4.5392,250,0,8,,12.4468,94,0,0.108512,27,0,0,35.4279,31,,12500,4500,,0,0,0,1
1667511093184,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,53164,4.55574,251,0,8,,12.551,98,0,0.1152,28,0,0,35.1464,31,,12550,4518,,0,0,0,1
1667511093434,1,1010123456002,70,,1,1,18,1,1,,13.8857,560,0,3.03344,167,0,8,,13.0676,74,0,0.122528,21,0,0,34.4998,31,,7773,2862,,0,0,0,1
1667511093684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511093934,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511094184,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511094434,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.28571,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511094684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511094934,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511095184,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511095434,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511095684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511095934,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511096184,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511096434,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511096684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511096934,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511097184,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511097434,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511097684,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511097934,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511098184,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667511098434,1,1010123456002,70,,1,1,18,1,1,,10.8571,14,0,0.008224,4,0,8,,13.6667,21,0,0.1,6,0,0,33.7506,31,,12,12,,0,0,0,1
