Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667512253559,1,1010123456002,70,,1,1,18,1,1,,2.36364,22,0,0.003936,5,0,9,,11.8333,24,0,0.1,7,0,0,36.5019,31,,1,24,,0,0,0,1
1667512253809,1,1010123456002,70,,1,1,18,1,1,,3.6,15,0,0.005472,5,0,9,,11.16,25,0,0.1,7,0,0,36.9012,31,,0,12,,0,0,0,1
1667512254059,1,1010123456002,70,,1,1,18,1,1,,0,3,0,0.001824,1,0,9,,11,7,0,0.1,2,0,0,37.1635,31,,0,3,,0,0,0,1
1667512254309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512254559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512254809,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512255059,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512255309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512255559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512255809,1,1010123456002,70,,1,1,18,1,1,,12,4,0,0.002336,1,0,9,,13.2857,7,0,0.1,2,0,0,35.5855,31,,0,3,,0,0,0,1
1667512256059,1,1010123456002,70,,1,1,18,1,1,,16.4889,90,0,0.340672,18,0,9,,13.9714,35,0,0.110912,10,0,0,35.8726,31,,0,372,,0,0,0,1
1667512256309,1,1010123456002,70,,1,1,18,1,1,,18.4581,812,62740,5.788,231,0,9,,14.4576,118,0,0.80176,34,0,0,34.1653,31,,11000,4176,,0,0,0,1
1667512256559,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,76791,6.28,250,0,9,,13.5408,98,0,0.182528,28,0,0,36.2685,31,,12500,4500,,0,0,0,1
1667512256809,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,87835,6.28,250,0,9,,13.3673,98,0,0.153344,28,0,0,36.7281,31,,12500,4500,,0,0,0,1
1667512257059,1,1010123456002,70,,1,1,18,1,1,,17.7248,872,66985,6.00147,250,0,8.83333,,13.5,98,274,0.219648,28,0,0,36.2263,31,,12500,4500,,0,0,0,1
1667512257309,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,61491,6.28,250,0,9,,14.2105,95,0,0.256608,27,0,0,35.7834,31,,12500,4500,,0,0,0,1
1667512257559,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,68023,6.28,250,0,9,,14.4286,98,0,0.267904,28,0,0,35.6194,31,,12500,4500,,0,0,0,1
1667512257809,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,73053,6.28,250,0,9,,13.2857,98,0,0.151168,28,0,0,36.7,31,,12500,4500,,0,0,0,1
1667512258059,1,1010123456002,70,,1,1,18,1,1,,18.4556,878,81093,6.28,250,0,9,,13.3673,98,0,0.153344,28,0,0,36.5689,31,,12500,4500,,0,0,0,1
1667512258309,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,78283,6.00147,250,0,8.85714,,13.1277,94,0,0.142432,27,0,0,36.4967,31,,12500,4500,,0,0,0,1
1667512258559,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,51740,6.28,250,0,9,,13.8878,98,0,0.261632,28,0,0,35.6771,31,,12500,4500,,0,0,0,1
1667512258809,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,59458,6.00147,250,0,8.83333,,13.0612,98,0,0.146816,28,0,0,37.0713,31,,12500,4500,,0,0,0,1
1667512259059,1,1010123456002,70,,1,1,18,1,1,,18.4238,696,0,5.17424,207,0,9,,13.5055,91,0,0.20064,26,0,0,35.9996,31,,9778,3567,,0,0,0,1
1667512259309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512259559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512259809,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512260059,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512260309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512260559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512260809,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512261059,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512261309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512261559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512261809,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512262059,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512262309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512262559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512262809,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512263059,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512263309,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512263559,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512263809,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667512264059,1,1010123456002,70,,1,1,18,1,1,,15,8,0,0.006208,2,0,9,,13.6667,21,0,0.1,6,0,0,35.9232,31,,6,6,,0,0,0,1
1667512264309,1,1010123456002,70,,1,1,18,1,1,,18.1552,335,58195,2.10534,88,0,9,,14.9868,76,0,0.741344,22,0,0,32.9508,31,,4463,1662,,0,0,0,1
1667512264559,1,1010123456002,70,,1,1,18,1,1,,18.4556,878,67738,6.28,250,0,9,,13.7245,98,0,0.20416,28,0,0,36.2837,31,,12500,4500,,0,0,0,1
1667512264809,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,81789,6.28,250,0,9,,13.3469,98,0,0.153344,28,0,0,36.7012,31,,12500,4500,,0,0,0,1
1667512265059,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,89827,6.28,250,0,9,,13.3673,98,0,0.153344,28,0,0,36.6827,31,,12500,4500,,0,0,0,1
1667512265309,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,100871,6.28,250,0,9,,13.2857,98,171,0.151168,28,0,0,36.4941,31,,12500,4500,,0,0,0,1
1667512265559,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,66809,6.28,250,0,9,,13.7684,95,0,0.255072,27,0,0,35.9355,31,,12500,4500,,0,0,0,1
1667512265809,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,73343,6.28,250,0,9,,14.1633,98,0,0.249216,28,0,0,35.8787,31,,12500,4500,,0,0,0,1
1667512266059,1,1010123456002,70,,1,1,18,1,1,,18.4587,872,78373,6.28,250,0,9,,14.6327,98,0,0.28864,28,0,0,35.9581,31,,12500,4500,,0,0,0,1
1667512266309,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,84585,6.00147,250,0,8.85714,,13.1429,98,0,0.145152,28,0,0,36.6721,31,,12500,4500,,0,0,0,1
1667512266559,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,83601,6.28,250,0,9,,13.3404,94,0,0.147168,27,0,0,36.5015,31,,12500,4500,,0,0,0,1
1667512266809,1,1010123456002,70,,1,1,18,1,1,,17.7267,878,77790,6.00147,250,0,8.83333,,13.4184,98,0,0.18368,28,0,0,36.5619,31,,12500,4500,,0,0,0,1
1667512267059,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,63274,6.28,250,0,9,,13.7347,98,0,0.238208,28,0,0,36.1066,31,,12500,4500,,0,0,0,1
1667512267309,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,67985,6.04301,250,0,8.85714,,13.2245,98,0,0.148992,28,0,0,36.7575,31,,12500,4500,,0,0,0,1
1667512267559,1,1010123456002,70,,1,1,18,1,1,,18.4571,875,45952,6.23846,250,0,9,,13.7959,98,125,0.251136,28,0,0,35.9015,31,,12500,4500,,0,0,0,1
