Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667925446970,1,1010123456002,70,,1,1,18,1,1,,1.2,10,0,0.00208,3,0,7,,11.5714,7,0,0.1,2,0,0,34.5542,31,,1,12,,0,0,0,1
1667925447220,1,1010123456002,70,,1,1,18,1,1,,3.48148,27,0,0.007328,7,0,7.83333,,11.4762,42,0,0.113184,12,0,0,35.6007,31,,0,24,,0,0,0,1
1667925447470,1,1010123456002,70,,1,1,18,1,1,,9,4,0,0.001824,1,0,7.66667,,11,7,0,0.1,2,0,0,35.7779,31,,0,3,,0,0,0,1
1667925447720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925447970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925448220,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925448470,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925448720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925448970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925449220,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925449470,1,1010123456002,70,,1,1,18,1,1,,9.4,20,0,0.01424,5,0,7.66667,,13.7429,35,0,0.105152,10,0,0,35.4342,31,,0,24,,0,0,0,1
1667925449720,1,1010123456002,70,,1,1,18,1,1,,12.5362,774,37669,3.2623,213,0,7.33333,,13.6,80,0,0.177376,23,0,0,35.4785,31,,9224,3933,,0,0,0,1
1667925449970,1,1010123456002,70,,1,1,18,1,1,,12.9186,872,27438,4.0889,250,0,7.57143,,13.4694,98,0,0.17856,28,0,0,35.7843,31,,12500,4500,,0,0,0,1
1667925450220,1,1010123456002,70,,1,1,18,1,1,,12.1771,875,28560,3.72538,250,0,7,,13.1429,98,125,0.157312,28,0,0,35.6109,31,,12500,4500,,0,0,0,1
1667925450470,1,1010123456002,70,,1,1,18,1,1,,12.2023,875,20177,3.72538,250,0,7.16667,,13.0211,95,0,0.148832,27,0,0,35.8806,31,,12500,4500,,0,0,0,1
1667925450720,1,1010123456002,70,,1,1,18,1,1,,11.8827,878,22642,3.57075,250,0,7,,12.3265,98,0,0.1,28,0,0,36.1224,31,,12500,4500,,0,0,0,1
1667925450970,1,1010123456002,70,,1,1,18,1,1,,11.8789,875,28176,3.57075,250,0,7,,12.3163,98,0,0.1,28,0,0,36.0692,31,,12500,4500,,0,0,0,1
1667925451220,1,1010123456002,70,,1,1,18,1,1,,11.8735,854,0,3.55654,250,0,7,,12.7041,98,0,0.115584,28,0,0,36.2834,31,,11856,4347,,0,0,0,1
1667925451470,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0.00416,2,0,7,,11.3,10,0,0.1,3,0,0,35.7464,0,,0,0,,0,0,0,1
1667925451720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925451970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925452220,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925452470,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925452720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925452970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925453220,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925453470,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925453720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925453970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925454220,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925454470,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925454720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925454970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925455220,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925455470,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925455720,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925455970,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.71429,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667925456220,1,1010123456002,70,,1,1,18,1,1,,8.42857,14,0,0.002368,2,0,5.83333,,13.8,10,0,0.1,3,0,0,34.6945,31,,12,12,,0,0,0,1
1667925456470,1,1010123456002,70,,1,1,18,1,1,,10.3922,204,21177,0.551456,53,0,6,,14.0769,39,0,0.126048,11,0,0,35.2854,31,,2459,963,,0,0,0,1
1667925456720,1,1010123456002,70,,1,1,18,1,1,,8.72229,875,67739,2.59232,250,0,5.5,,12.6939,98,0,0.123264,28,0,0,36.3528,31,,12500,4500,,0,0,0,1
1667925456970,1,1010123456002,70,,1,1,18,1,1,,8.71086,875,55745,2.60448,250,0,5.57143,,12.8391,87,0,0.142368,25,0,0,36.224,31,,12500,4500,,0,0,0,1
1667925457220,1,1010123456002,70,,1,1,18,1,1,,9.33485,878,48221,2.72058,250,0,5.66667,,12.9082,98,0,0.133376,28,0,0,35.9659,31,,12500,4500,,0,0,0,1
1667925457470,1,1010123456002,70,,1,1,18,1,1,,9.33601,872,54109,2.73914,250,0,5.66667,,12.5,98,0,0.120832,28,0,0,36.31,31,,12500,4500,,0,0,0,1
1667925457720,1,1010123456002,70,,1,1,18,1,1,,8.80296,878,44523,2.63571,250,0,5.5,,13.1735,98,78,0.137216,28,0,0,36.0459,31,,12500,4500,,0,0,0,1
1667925457970,1,1010123456002,70,,1,1,18,1,1,,7.94743,875,36629,2.39827,250,0,5.28571,,12.3579,95,0,0.105056,27,0,0,36.441,31,,12500,4500,,0,0,0,1
1667925458220,1,1010123456002,70,,1,1,18,1,1,,6.72571,875,25713,2.13549,250,0,5,,12.6327,98,0,0.15584,28,0,0,35.865,31,,12500,4500,,0,0,0,1
1667925458470,1,1010123456002,70,,1,1,18,1,1,,7.95069,872,20824,2.4103,250,0,5.33333,,13.0816,98,0,0.137344,28,0,0,35.7986,31,,12500,4500,,0,0,0,1
1667925458720,1,1010123456002,70,,1,1,18,1,1,,6.73257,875,20345,2.12346,250,0,5,,13.7103,107,0,0.683488,31,0,0,34.2485,31,,12500,4500,,0,0,0,1
1667925458970,1,1010123456002,70,,1,1,18,1,1,,6.75314,875,25663,2.13459,250,0,5,,12.7763,76,0,0.13408,22,0,0,35.9065,31,,12500,4500,,0,0,0,1
1667925459220,1,1010123456002,70,,1,1,18,1,1,,6.792,875,24531,2.14432,250,0,5,,13.2364,55,0,0.127488,16,0,0,35.5473,31,,12500,4500,,0,0,0,1
1667925459470,1,1010123456002,70,,1,1,18,1,1,,6.72324,878,16668,2.12205,250,0,5,,12.8776,98,0,0.165312,28,0,0,35.6429,31,,12500,4500,,0,0,0,1
1667925459720,1,1010123456002,70,,1,1,18,1,1,,6.74857,875,11506,2.12896,250,0,5,,12.7586,87,0,0.121632,25,0,0,35.9743,31,,12500,4500,,0,0,0,1
1667925459970,1,1010123456002,70,,1,1,18,1,1,,6.73486,875,593,2.12486,250,0,5,,12.3297,91,0,0.104,26,0,0,36.0879,31,,12182,4494,,0,0,0,1
1667925460220,1,1010123456002,70,,1,1,18,1,1,,6.71083,868,7211,2.08694,248,0,5,,12.5816,98,0,0.151424,28,0,0,36.1775,31,,12101,4434,,0,0,0,1
1667925460470,1,1010123456002,70,,1,1,18,1,1,,6.74512,820,5348,1.97437,235,0,5,,12.5714,84,0,0.14176,24,0,0,35.89,31,,10501,4176,,0,0,0,1
1667925460720,1,1010123456002,70,,1,1,18,1,1,,6.72322,831,4262,1.94813,237,0,5,,12.1974,76,0,0.121408,22,0,0,36.2239,31,,8520,4119,,0,0,0,1
1667925460970,1,1010123456002,70,,1,1,18,1,1,,6.75964,778,135,1.8535,222,0,5,,13.3846,52,0,0.121824,15,0,0,35.6551,31,,8822,3894,,0,0,0,1
1667925461220,1,1010123456002,70,,1,1,18,1,1,,6.76941,837,12531,1.99968,239,0,5,,13.2623,61,0,0.146624,18,0,0,35.4639,31,,11279,4212,,0,0,0,1
1667925461470,1,1010123456002,70,,1,1,18,1,1,,6.74514,875,8968,2.1273,250,0,5,,12.4091,88,0,0.125216,25,0,0,35.9416,31,,12188,4497,,0,0,0,1
1667925461720,1,1010123456002,70,,1,1,18,1,1,,6.74146,878,12917,2.12755,250,0,5,,13.9892,93,0,0.655392,27,0,0,33.6443,31,,12319,4500,,0,0,0,1
1667925461970,1,1010123456002,70,,1,1,18,1,1,,6.76571,875,6075,2.136,250,0,5,,12.7143,70,0,0.113024,20,0,0,36.2393,31,,12444,4500,,0,0,0,1
1667925462220,1,1010123456002,70,,1,1,18,1,1,,6.74514,875,9978,2.12896,250,0,5,,12.9277,83,0,0.14272,24,0,0,35.5856,31,,12500,4500,,0,0,0,1
1667925462470,1,1010123456002,70,,1,1,18,1,1,,7.33945,872,5132,2.27437,250,0,5.16667,,12.8333,84,1624,0.138112,24,0,0,35.5835,31,,12270,4500,,0,0,0,1
1667925462720,1,1010123456002,70,,1,1,18,1,1,,9.08457,875,8383,2.64134,250,0,5.66667,,13.6952,105,0,0.637184,30,0,0,33.8408,31,,11715,4491,,0,0,0,1
1667925462970,1,1010123456002,70,,1,1,18,1,1,,8.06514,875,14705,2.46611,250,0,5.28571,,12.3736,91,0,0.138368,26,0,0,35.6179,31,,12500,4500,,0,0,0,1
1667925463220,1,1010123456002,70,,1,1,18,1,1,,7.97943,875,16930,2.42182,250,0,5.33333,,12.6528,72,0,0.119712,21,0,0,35.5059,31,,12500,4500,,0,0,0,1
1667925463470,1,1010123456002,70,,1,1,18,1,1,,6.76343,875,10134,2.13459,250,0,5,,13.087,69,91,0.144896,20,0,0,34.5326,31,,12500,4500,,0,0,0,1
1667925463720,1,1010123456002,70,,1,1,18,1,1,,6.73257,875,9658,2.12474,250,0,5,,12.4211,95,0,0.115552,27,0,0,35.5323,31,,12500,4500,,0,0,0,1
1667925463970,1,1010123456002,70,,1,1,18,1,1,,6.75771,875,1399,2.13318,250,0,5,,12.6301,73,0,0.107936,21,0,0,34.6846,31,,12244,4500,,0,0,0,1
1667925464220,1,1010123456002,70,,1,1,18,1,1,,8.69019,836,19547,2.46125,242,0,5.66667,,12.9846,65,0,0.119648,19,0,0,35.0171,31,,11094,4245,,0,0,0,1
1667925464470,1,1010123456002,70,,1,1,18,1,1,,8.35543,875,10094,2.49043,246,0,5.33333,,13.7339,109,0,0.658976,31,0,0,32.523,31,,12500,4500,,0,0,0,1
1667925464720,1,1010123456002,70,,1,1,18,1,1,,9.10514,875,5604,2.65683,250,0,5.66667,,12.5172,87,0,0.123936,25,0,0,34.7464,31,,12289,4500,,0,0,0,1
1667925464970,1,1010123456002,70,,1,1,18,1,1,,8.11582,872,5366,2.46739,250,0,5.42857,,12.5495,91,0,0.115008,26,0,0,34.8329,31,,12111,4500,,0,0,0,1
1667925465220,1,1010123456002,70,,1,1,18,1,1,,10.5543,875,4584,2.98746,250,0,6,,12.3723,94,0,0.1,27,0,0,35.0797,31,,9725,4464,,0,0,0,1
1667925465470,1,1010123456002,70,,1,1,18,1,1,,10.3223,847,0,2.93571,249,0,5.83333,,12.2449,98,0,0.1,28,0,0,35.3058,31,,11498,4290,,0,0,0,1
