Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667928437785,1,1010123456002,70,,1,1,18,1,1,,3.09091,33,0,0.009056,9,0,9,,11.381,42,0,0.112928,12,0,0,36.332,31,,1,33,,0,0,0,1
1667928438035,1,1010123456002,70,,1,1,18,1,1,,5,8,0,0.002176,2,0,9,,11.5714,14,0,0.1,4,0,0,36.4832,31,,0,6,,0,0,0,1
1667928438285,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928438535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928438785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928439035,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928439285,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928439535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928439785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928440035,1,1010123456002,70,,1,1,18,1,1,,12,4,0,0.002336,1,0,9,,13.2857,7,0,0.1,2,0,0,35.1086,31,,0,3,,0,0,0,1
1667928440285,1,1010123456002,70,,1,1,18,1,1,,17.2386,176,18474,0.946368,42,0,8.85714,,14.7013,77,0,0.702176,22,0,0,33.4262,31,,700,831,,0,0,0,1
1667928440535,1,1010123456002,70,,1,1,18,1,1,,16.3394,875,35199,5.44442,250,0,8.66667,,13.4286,98,0,0.195712,28,0,0,35.9513,31,,12500,4500,,0,0,0,1
1667928440785,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,48930,6.00147,250,0,8.83333,,13.1939,98,0,0.148608,28,0,0,36.504,31,,12500,4500,,0,0,0,1
1667928441035,1,1010123456002,70,,1,1,18,1,1,,16.9943,875,60838,5.72294,250,0,8.66667,,13.0612,98,0,0.141312,28,0,0,36.4596,31,,12500,4500,,0,0,0,1
1667928441285,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,59535,6.00147,250,0,8.85714,,13.1064,94,0,0.138976,27,0,0,36.6148,31,,12500,4500,,0,0,0,1
1667928441535,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,72462,6.02211,251,0,8.83333,,13.3163,98,0,0.148736,28,0,0,36.5313,31,,12550,4518,,0,0,0,1
1667928441785,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,83187,6.00147,250,0,8.83333,,13.2245,98,0,0.150144,28,0,0,36.7483,31,,12500,4500,,0,0,0,1
1667928442035,1,1010123456002,70,,1,1,18,1,1,,17.7257,875,60134,5.98083,249,0,8.83333,,13.6429,98,0,0.242944,28,0,0,35.6681,31,,12450,4482,,0,0,0,1
1667928442285,1,1010123456002,70,,1,1,18,1,1,,18.445,427,0,3.25754,130,0,9,,14.6364,88,0,0.68208,25,0,0,33.4913,31,,5966,2193,,0,0,0,1
1667928442535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928442785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928443035,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928443285,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928443535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928443785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928444035,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928444285,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.57143,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928444535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928444785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928445035,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928445285,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928445535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928445785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928446035,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928446285,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928446535,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928446785,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928447035,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667928447285,1,1010123456002,70,,1,1,18,1,1,,10.6364,22,0,0.012096,6,0,8.14286,,13.8571,28,0,0.1,8,0,0,35.2276,31,,18,18,,0,0,0,1
1667928447535,1,1010123456002,70,,1,1,18,1,1,,14.1667,714,26507,3.56544,196,0,8.16667,,14.947,132,0,1.26502,38,0,0,31.87,31,,9909,3642,,0,0,0,1
1667928447785,1,1010123456002,70,,1,1,18,1,1,,14.3577,875,12613,4.77466,250,0,8,,13.7347,98,0,0.231936,28,0,0,34.8128,31,,12500,4500,,0,0,0,1
1667928448035,1,1010123456002,70,,1,1,18,1,1,,13.8733,868,3744,4.51395,249,0,8,,13.5408,98,0,0.189696,28,0,0,35.2631,31,,11402,4479,,0,0,0,1
1667928448285,1,1010123456002,70,,1,1,18,1,1,,13.8376,868,5448,4.46422,247,0,8,,12.949,98,0,0.150528,28,0,0,35.6774,31,,10696,4443,,0,0,0,1
1667928448535,1,1010123456002,70,,1,1,18,1,1,,13.5465,871,9134,4.34589,249,0,7.83333,,12.5213,94,0,0.105696,27,0,0,36.4183,31,,11564,4467,,0,0,0,1
1667928448785,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,3896,4.5392,250,0,8,,13.2041,98,0,0.195072,28,0,0,35.9992,31,,11896,4500,,0,0,0,1
1667928449035,1,1010123456002,70,,1,1,18,1,1,,12.718,773,2721,3.40608,221,0,7.5,,13,98,0,0.141056,28,0,0,35.8956,31,,6573,3744,,0,0,0,1
1667928449285,1,1010123456002,70,,1,1,18,1,1,,13.0245,818,7279,3.75376,234,0,7.57143,,12.6531,98,0,0.127232,28,0,0,36.4245,31,,8726,4125,,0,0,0,1
1667928449535,1,1010123456002,70,,1,1,18,1,1,,12.2069,875,12757,3.7305,250,0,7.16667,,12.4082,98,107,0.104704,28,0,0,36.4047,31,,11932,4488,,0,0,0,1
1667928449785,1,1010123456002,70,,1,1,18,1,1,,11.8789,875,10774,3.5687,250,0,7,,12.3368,95,0,0.1,27,0,0,36.7424,31,,12500,4500,,0,0,0,1
1667928450035,1,1010123456002,70,,1,1,18,1,1,,11.8823,875,16244,3.57075,250,0,7,,12.3163,98,0,0.1,28,0,0,37.1032,31,,12500,4500,,0,0,0,1
1667928450285,1,1010123456002,70,,1,1,18,1,1,,11.8789,875,19827,3.5832,251,0,7,,12.3265,98,0,0.1,28,0,0,36.9461,31,,12550,4518,,0,0,0,1
1667928450535,1,1010123456002,70,,1,1,18,1,1,,11.672,875,22450,3.46922,249,0,6.83333,,12.3163,98,0,0.1,28,0,0,37.0956,31,,12450,4482,,0,0,0,1
1667928450785,1,1010123456002,70,,1,1,18,1,1,,11.672,875,12597,3.48371,250,0,6.83333,,12.8085,94,0,0.131424,27,0,0,36.6987,31,,12500,4500,,0,0,0,1
1667928451035,1,1010123456002,70,,1,1,18,1,1,,11.488,875,18643,3.4256,250,0,6.66667,,12.2755,98,0,0.1,28,0,0,37.1536,31,,12500,4500,,0,0,0,1
1667928451285,1,1010123456002,70,,1,1,18,1,1,,11.8297,875,6751,3.54054,250,0,6.85714,,13.4388,98,0,0.21216,28,0,0,36.2892,31,,12500,4500,,0,0,0,1
1667928451535,1,1010123456002,70,,1,1,18,1,1,,11.438,847,541,3.09658,242,0,6.83333,,13.7073,123,0,0.666784,35,0,0,35.0619,31,,7952,4104,,0,0,0,1
1667928451785,1,1010123456002,70,,1,1,18,1,1,,11.5264,834,4240,3.14643,238,0,6.66667,,12.7755,98,0,0.153024,28,0,0,36.9376,31,,8120,4152,,0,0,0,1
1667928452035,1,1010123456002,70,,1,1,18,1,1,,10.9904,520,245,1.69853,148,0,6.5,,13.8163,49,0,0.1488,14,0,0,35.7353,31,,4546,2358,,0,0,0,1
1667928452285,1,1010123456002,70,,1,1,18,1,1,,10.8605,387,0,1.27334,118,0,6.42857,,14.5238,42,0,0.157696,12,0,0,35.3031,31,,3021,1644,,0,0,0,1
