Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1667924528786,1,1010123456002,70,,1,1,18,1,1,,2.27586,29,0,0.005312,8,0,6.8,,11.3429,35,0,0.1,10,0,0,35.2871,31,,1,27,,0,0,0,1
1667924529036,1,1010123456002,70,,1,1,18,1,1,,6.09091,11,0,0.00592,3,0,7,,12.4118,17,0,0.1,5,0,0,34.1502,31,,0,12,,0,0,0,1
1667924529286,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,8,4,0,0.1,1,0,0,37.973,0,,0,0,,0,0,0,1
1667924529536,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667924529786,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667924530036,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667924530286,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667924530536,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667924530786,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,7,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1667924531036,1,1010123456002,70,,1,1,18,1,1,,6,8,0,0.0024,1,0,6.5,,13.8,10,0,0.1,3,0,0,33.1985,31,,0,15,,0,0,0,1
