Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1667924549286,0,0,0,0,0,0,8.33333,0,0,0,0,0,0,0,0,0,0,0
1667924549536,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1667924549786,0,0,0,0,0,0,8.28571,0,0,0,0,0,0,0,0,0,0,0
1667924550036,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1667924550286,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924550536,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924550786,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924551036,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924551286,0,0,0,0,0,0,8.66667,0,0,0,0,0,0,0,0,0,0,0
1667924551536,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924551786,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924552036,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924552286,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924552536,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924552786,0,0,0,0,0,0,8.85714,0,0,0,0,0,0,0,0,0,0,0
1667924553036,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924553286,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1667924553536,0,0,0,0,0,0,8.66667,0,0,0,0,0,0,0,0,0,0,0
1667924553786,0,0,0,0,0,0,8.71429,0,0,0,0,0,0,0,0,0,0,0
1667924554036,8,4,0,0.001568,1,0,8.83333,13.2857,7,0,0.1,2,0,32.4991,31,3,3,1
1667924554286,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1667924554536,0,0,0,0,0,0,8.66667,0,0,0,0,0,0,0,0,0,0,0
1667924554786,0,0,0,0,0,0,8.14286,0,0,0,0,0,0,0,0,0,0,0
1667924555036,0,0,0,0,0,0,8.66667,0,0,0,0,0,0,0,0,0,0,0
1667924555286,0,0,0,0,0,0,8.66667,0,0,0,0,0,0,0,0,0,0,0
1667924555536,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
