Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67088E+12,1.2,10,0,0.00208,3,0,0.1,11.5714,7,0,0.1,2,0,36.4145,31,1,12,1
1.67088E+12,3.03704,27,0,0.007328,7,0,5.66667,11.4762,42,0,0.113184,12,0,36.324,31,0,27,1
1.67088E+12,0,3,0,0.002016,1,0,5.57143,11,7,0,0.1,2,0,36.6195,31,0,6,1
1.67088E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.71429,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.57143,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,6.19231,26,14822,0.014304,5,0,5.83333,13.8421,38,0,0.122208,11,0,36.0787,31,0,56,1
1.67088E+12,4.04228,875,41090,0.998848,244,0,3.5,14.3218,87,0,0.675552,25,0,34.0503,31,10950,3500,1
1.67088E+12,3.13029,875,42883,0.861248,250,0,3.33333,13.5696,79,0,0.415904,23,0,35.0379,31,12500,3500,1
1.67088E+12,3.84572,875,41750,0.9872,250,0,3.57143,13.56,75,0,0.36256,22,0,35.1318,31,12500,3500,1
1.67088E+12,4,875,44146,1.00051,250,0,3.83333,13.4792,48,0,0.14624,14,0,35.8502,31,12500,3500,1
1.67088E+12,3.26286,875,43603,0.889152,250,0,3.33333,13.3478,46,10783,0.126368,13,0,36.2564,31,12500,3500,1
1.67088E+12,3.84114,875,33475,0.986304,250,0,3.66667,13.3763,93,0,0.662048,27,0,34.5346,31,12500,3500,1
1.67088E+12,3.81257,875,28047,0.96544,250,0,3.57143,14.5125,80,0,0.650528,23,0,33.6355,31,12500,3500,1
1.67088E+12,3.37943,875,35819,0.908096,250,0,3.5,13.2909,55,0,0.151168,16,0,35.9522,31,12500,3500,1
1.67088E+12,2.32,875,36704,0.67744,250,0,3.16667,7.72131,122,0,0.1,34,41.1765,12.4657,31,12500,3500,5.27869
1.67088E+12,2,871,36575,0.613536,249,0,3,10.1591,88,0,0.1,25,64,10.2652,31,12500,3500,6.93182
1.67088E+12,2.976,875,38035,0.791104,250,0,3.57143,7.92661,109,0,0.1,30,60,7.45593,31,12500,3500,6.61468
1.67088E+12,5.95545,853,10198,1.74237,249,0,4.83333,9.1117,188,0,0.216896,56,55.3571,6.85893,31,12342,3500,5.88298
1.67088E+12,2.8603,859,28600,0.791872,250,0,3.33333,7.27957,93,0,0.13472,27,18.5185,21.5149,31,12500,3500,2.5914
1.67088E+12,3.368,875,15676,0.878912,250,0,3.66667,9.51887,106,0,0.1,29,65.5172,9.2384,31,12500,3500,7.11321
1.67088E+12,3.33488,863,17861,0.88048,247,0,3.57143,8.41177,85,0,0.1,24,45.8333,12.4399,31,12500,3500,5.27059
1.67088E+12,3.05951,857,13965,0.828576,249,0,3.66667,12.2462,130,0,0.133696,37,75.6757,7.22414,31,12500,3500,8.01538
1.67088E+12,5.40303,593,833,0.98304,172,0,5.5,10.1098,164,0,0.219616,48,64.5833,7.9949,31,8182,2422,6.93902
1.67088E+12,3.05663,777,11131,0.748608,222,0,3.5,8.75258,97,0,0.1,26,46.1538,13.3535,31,9897,3090,5.57732
1.67088E+12,2.704,875,6716,0.763072,250,0,3.28571,8.84091,88,0,0.1,24,54.1667,9.59406,31,11252,3498,6.31818
1.67088E+12,5.44765,554,3962,0.870176,158,0,5.5,8.50562,89,14,0.1,24,54.1667,9.03125,31,5876,2125,6.25843
1.67088E+12,3.70672,774,6771,0.81776,221,0,3.66667,4.88119,101,0,0.100448,28,32.1429,7.70649,31,8314,2943,4.20792
1.67088E+12,3.29177,826,0,0.796064,244,0,3.66667,6.57391,115,0,0.1,32,50,8.41203,31,9512,3061,5.69565
1.67088E+12,2.92765,774,5878,0.626336,213,0,3.57143,9.78462,65,512,0.1,18,66.6667,7.07635,31,9044,2939,7.09231
1.67088E+12,3.16533,871,5442,0.8008,249,0,3.66667,10.8276,87,0,0.1,24,62.5,14.1643,31,11027,3429,6.7931
1.67088E+12,3.44279,804,10408,0.801184,230,0,3.66667,8.85714,77,0,0.1,22,54.5455,10.6976,31,9314,2855,6.25974
1.67088E+12,2.72,875,10398,0.75424,250,0,3.33333,7.55556,81,0,0.1,25,68,7.96324,31,12487,3500,6.66667
1.67088E+12,3.664,875,6229,0.93856,250,0,3.71429,6.07229,83,512,0.1,25,56,9.63148,31,12304,3500,5.55422
1.67088E+12,2.64,875,12713,0.748096,250,0,3.33333,8.15385,78,0,0.1,24,66.6667,8.14881,31,12498,3500,6.53846
1.67088E+12,2.96,875,9760,0.80032,250,0,3.5,7.75281,89,0,0.1,25,52,11.3381,31,12500,3500,5.75281
1.67088E+12,2.896,875,10198,0.775744,250,0,3.5,8.74074,81,0,0.1,25,72,9.78902,31,12500,3500,7
1.67088E+12,3.96632,772,0,1.01315,231,0,4.71429,9.5514,214,0,0.140352,65,66.1538,6.43944,31,10939,3095,6.73364
1.67088E+12,5.57594,507,1333,0.716192,137,0,4.66667,5.82203,118,0,0.1,32,40.625,9.32708,31,5574,1965,5.19492
