Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67087E+12,3.1,30,0,0.00902811,7,0,6,11.4651,43,0,0.113382,12,0,32.6898,31,1,39,1
1.67087E+12,0,3,0,0.00237751,2,0,5.83333,10.6364,11,0,0.1,3,0,33.6787,31,0,6,1
1.67087E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.71429,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.42857,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,5.76923,13,0,0.011904,4,0,5.66667,14.359,39,0,0.1,11,27.2727,22.4181,31,0,30,3.61538
1.67087E+12,0,0,0,0,0,0,5.83333,8,15,0,0.1,4,50,1.9208,31,0,0,5.8
1.67087E+12,0,0,0,0,0,0,5.57143,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1.67087E+12,0,3,0,0.00240964,1,0,5.83333,5.14286,7,0,0.1,2,0,28.5907,31,0,6,1
1.67087E+12,10.3933,567,47566,1.78625,155,0,6,7.41221,131,0,0.142747,37,37.8378,10.2412,31,6019,3006,4.55725
1.67087E+12,9.79521,835,21206,2.69292,241,0,5.71429,6.35211,213,0,0.179566,61,42.623,10.3898,31,12500,4440,4.88732
