Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1670877147982,3,1010123456003,72,,1,0,18,1,1,,1.45455,11,0,0.00208,3,0,7.5,,14.7333,45,0,0.1,12,75,0,12.2947,31,,1,18,,0,0,0,7.88889
1670877148232,3,1010123456003,72,,1,0,18,1,1,,3.94118,17,0,0.004928,5,0,7.66667,,5.45455,44,0,0.1,12,33.3333,0,2.46213,31,,0,27,,0,0,0,4.27273
1670877148482,2,1010123456003,72,,1,0,18,1,1,,5.8,10,0,0.00592,3,0,7.85714,,0.1,14,0,0.1,4,0,0,2.16325,31,,0,21,,0,0,0,1
1670877148732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.83333,,0.1,7,0,0.1,2,0,0,2.01828,31,,0,0,,0,0,0,1
1670877148982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877149232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877149482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877149732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877149982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877150232,2,1010123456003,72,,1,0,18,1,1,,0,9,0,0.008096,3,0,7.83333,,0.1,21,0,0.1,6,0,0,2.09208,31,,0,12,,0,0,0,1
1670877150482,2,1010123456003,72,,1,0,18,1,1,,12.8517,499,33228,2.26886,142,0,7.57143,,8.54237,118,46,0.398784,35,17.1429,0,19.3788,31,,5883,2805,,0,0,0,2.37288
1670877150732,2,1010123456003,72,,1,0,18,1,1,,13.0168,776,0,3.74551,227,0,7.5,,7.00671,149,0,0.158233,43,32.5581,0,17.5462,31,,11540,4305,,0,0,0,4.02013
1670877150982,2,1010123456003,72,,1,0,18,1,1,,13.0409,538,17516,2.55584,158,0,7.66667,,12.4268,82,0,0.246304,24,20.8333,0,28.0093,31,,8182,3009,,0,0,0,3.08537
1670877151232,2,1010123456003,72,,1,0,18,1,1,,12.7419,523,0,2.49418,157,0,7.16667,,9.08759,137,0,0.138848,40,42.5,0,17.6064,31,,7470,2850,,0,0,0,4.61314
1670877151482,2,1010123456003,72,,1,0,18,1,1,,13.5514,555,0,2.72058,159,0,7.71429,,11.663,92,0,0.1,27,59.2593,0,13.7455,31,,7562,2937,,0,0,0,6.47826
1670877151732,2,1010123456003,72,,1,0,18,1,1,,13.2326,533,4888,2.39907,143,0,7.5,,14.5691,188,0,0.865632,57,54.386,0,16.8784,31,,7519,2856,,0,0,0,5.65957
1670877151982,2,1010123456003,72,,1,0,18,1,1,,13.3216,485,0,2.24835,141,0,8.66667,,14.1929,140,0,0.165088,44,68.1818,0,12.1595,31,,6462,2598,,0,0,0,6.97857
1670877152232,2,1010123456003,72,,1,0,18,1,1,,14.5531,499,16388,2.77264,143,0,8.5,,11.1789,95,125,0.1,27,37.037,0,19.4319,31,,7303,2724,,0,0,0,4.69474
1670877152482,2,1010123456003,72,,1,0,18,1,1,,13.7876,565,9094,2.88451,161,0,7.85714,,10.9262,122,0,0.636864,35,20,0,22.0752,31,,8232,3093,,0,0,0,2.94262
1670877152732,2,1010123456003,72,,1,0,18,1,1,,13.0945,487,11334,2.15875,137,0,8,,13.0116,86,0,0.1,24,50,0,19.3253,31,,5885,2502,,0,0,0,5.7093
1670877152982,2,1010123456003,72,,1,0,18,1,1,,12.7108,408,0,1.82243,120,0,7.16667,,10.8033,122,0,0.1,34,70.5882,0,10.3222,31,,4752,2025,,0,0,0,7.4918
1670877153232,2,1010123456003,72,,1,0,18,1,1,,13.1015,611,0,2.87389,177,0,8.33333,,11.4122,131,0,0.29344,39,41.0256,0,17.9332,31,,9158,3333,,0,0,0,4.77863
1670877153482,2,1010123456003,72,,1,0,18,1,1,,13.7304,523,8727,2.56251,144,0,7.85714,,10.3012,83,0,0.144546,23,47.8261,0,13.1118,31,,7368,2832,,0,0,0,5.55422
1670877153732,2,1010123456003,72,,1,0,18,1,1,,13.02,802,12821,3.85286,234,0,7.5,,13.2105,133,0,0.539904,38,21.0526,0,28.1284,31,,12500,4500,,0,0,0,3.07519
1670877153982,2,1010123456003,72,,1,0,18,1,1,,13.7123,643,25729,3.30163,184,0,7.83333,,13.6058,104,0,0.637088,30,10,0,32.7158,31,,9603,3528,,0,0,0,1.77885
1670877154232,2,1010123456003,72,,1,0,18,1,1,,13.3086,810,3672,3.95357,233,0,7.66667,,14.6893,177,0,0.166752,54,57.4074,0,18.5594,31,,12495,4500,,0,0,0,5.98305
1670877154482,2,1010123456003,72,,1,0,18,1,1,,12.9008,484,0,2.3264,148,0,7.57143,,13.2798,168,0,0.271552,52,65.3846,0,12.4742,31,,6626,2589,,0,0,0,6.60119
1670877154732,2,1010123456003,72,,1,0,18,1,1,,13.2993,411,7725,1.86986,109,0,7.5,,9.65854,41,0,0.1,12,16.6667,0,24.8793,31,,6132,2250,,0,0,0,2.31707
1670877154982,2,1010123456003,72,,1,0,18,1,1,,13.25,436,0,2.11683,131,0,7.5,,11.2265,181,0,0.255104,53,60.3774,0,9.45212,31,,5337,2298,,0,0,0,6.46961
1670877155233,2,1010123456003,72,,1,0,18,1,1,,11.6524,797,3342,3.18798,219,0,7,,13.027,111,0,0.176382,33,27.2727,0,28.3037,31,,11620,4332,,0,0,0,3.27027
1670877155482,2,1010123456003,72,,1,0,18,1,1,,21.2131,61,0,0.694361,26,0,8.42857,,15.8333,72,0,0.422169,23,69.5652,0,14.7608,0,,461,285,,0,0,0,6.58333
1670877155732,2,1010123456003,72,,1,0,18,1,1,,13.6025,488,0,2.23709,134,0,8.16667,,12.3614,83,3748,0.602368,24,8.33333,0,28.1012,31,,5577,2508,,0,0,0,1.79518
1670877155982,2,1010123456003,72,,1,0,18,1,1,,13.9141,547,0,2.87082,163,0,7.33333,,10.6276,196,0,0.844032,57,38.5965,0,14.7197,31,,6711,2892,,0,0,0,4.52041
1670877156232,2,1010123456003,72,,1,0,18,1,1,,12.1513,238,0,0.929504,71,0,7.5,,12.4385,130,0,0.425248,41,60.9756,0,8.75554,31,,2458,1146,,0,0,0,6.43077
1670877156482,2,1010123456003,72,,1,0,18,1,1,,11.9203,138,0,0.492832,39,0,7.42857,,0.1,52,0,0.1,15,0,0,6.25829,31,,1623,654,,0,0,0,1.07692
1670877156732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877156982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877157232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877157482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877157732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877157982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877158232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877158482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877158732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877158982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877159232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877159482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877159732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877159982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877160232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,7.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877160482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877160732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877160982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877161232,2,1010123456003,72,,1,0,18,1,1,,0,3,0,0.001568,1,0,8,,5.14286,7,0,0.1,2,0,0,33.4623,31,,3,3,,0,0,0,1
1670877161482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877161732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877161982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877162232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877162482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877162732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877162982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877163232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877163482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877163732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877163982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877164232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877164482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877164732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877164982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877165232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877165482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877165732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877165982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877166232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877166482,2,1010123456003,72,,1,0,18,1,1,,0,3,0,0.001568,1,0,8,,13.7143,7,0,0.1,2,0,0,36.7054,31,,3,3,,0,0,0,1
1670877166732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877166982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877167232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877167482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877167732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877167982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877168232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877168482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877168732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877168982,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877169232,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877169482,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1670877169732,2,1010123456003,72,,1,0,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
