Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67088E+12,3.30435,23,0,0.005248,6,0,5,11.3429,35,0,0.1,10,0,36.2783,31,1,21,1
1.67088E+12,3.90909,11,0,0.00613655,3,0,5,11.8571,14,0,0.1,4,0,35.3797,31,0,24,1
1.67088E+12,0,0,0,0,0,0,5,11,7,0,0.1,2,0,35.765,31,0,0,1
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,12,0,0,4,100,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.85714,0.1,7,0,0.1,2,0,2.56191,31,0,0,1
1.67088E+12,5.9,80,11583,0.075968,14,0,5,0.1,47,0,0.1,14,0,2.13398,31,0,342,1.17021
1.67088E+12,6.07664,822,39596,1.7351,238,0,5,2.95092,163,0,0.184032,46,15.2174,7.2968,31,11550,4368,2.55215
1.67088E+12,5.92791,860,27705,1.79534,244,0,4.83333,6.35,120,0,0.121124,34,35.2941,8.14582,31,12500,4374,4.3
1.67088E+12,5.94934,829,30572,1.71194,240,0,5,4.6124,129,0,0.117833,37,32.4324,8.70873,31,12500,4404,3.94574
1.67088E+12,6,819,33554,1.72019,237,0,5,6.21387,173,0,0.137928,48,39.5833,7.39974,31,12500,4380,4.54913
1.67088E+12,6.20144,834,37045,1.80182,239,0,5,2.2053,151,0,0.217344,44,9.09091,8.85969,31,12500,4386,1.7947
1.67088E+12,6,843,38715,1.76762,242,0,5,4.22222,54,0,0.1,16,25,4.82368,31,12500,4410,3.05556
1.67088E+12,6,843,24557,1.75528,241,0,5,2.02247,89,0,0.1,26,15.3846,3.77657,31,12500,4374,2.21348
1.67088E+12,5.76306,823,16846,1.7199,239,0,4.5,5.60825,194,0,0.181344,59,33.8983,7.79811,31,12500,4368,3.86082
1.67088E+12,4.30817,808,20114,1.36437,238,0,4,7.89109,101,39,0.1,29,41.3793,10.64,31,12495,4410,4.56436
1.67088E+12,7.99403,838,0,2.3521,239,0,5.66667,9.78947,114,0,0.137157,31,45.1613,12.507,31,11085,4221,5.18421
1.67088E+12,6.20082,732,17620,1.536,205,0,5,4.2931,58,0,0.1,17,17.6471,10.5073,31,10900,3870,2.39655
1.67088E+12,6.08044,721,16910,1.45417,206,0,5,5.42157,102,0,0.1,29,31.0345,10.0013,31,9152,3558,3.73529
