Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67088E+12,2.21429,14,0,0.001856,2,0,9,8.18182,22,0,0.1,7,57.1429,6.37558,31,1,15,5.90909
1.67088E+12,3.53571,28,0,0.009152,10,0,9,4.90909,44,0,0.1,13,30.7692,5.06669,31,0,27,3.45455
1.67088E+12,3.27273,11,0,0.002272,3,0,9,0.1,14,0,0.1,4,0,1.33375,31,0,9,1
1.67088E+12,0,0,0,0,0,0,8.85714,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,8.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,8.71429,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7.5,0.1,4,0,0.1,1,0,30.7375,31,0,0,1
1.67088E+12,10.625,16,0,0.014176,5,0,9,13.8462,39,0,0.105152,11,9.09091,31.273,31,0,21,1.92308
1.67088E+12,0,0,0,0,0,0,9,11.3529,34,0,0.1,10,80,10.0764,31,0,0,8.32353
1.67088E+12,19.4097,349,53126,2.54374,94,0,9.5,12.686,172,0,0.344704,52,69.2308,9.03618,31,3674,1938,7.12209
1.67088E+12,16.2265,830,124128,5.15558,236,0,8.16667,11.9292,113,0,0.273888,32,31.25,21.8842,31,12500,4500,3.9469
1.67088E+12,19,827,92887,6.01699,233,0,9,14.1471,102,0,0.28032,28,28.5714,24.4021,31,12500,4500,3.82353
1.67088E+12,15.9157,830,70876,5.10464,236,0,8.42857,12.9683,126,131,0.215456,35,45.7143,18.4184,31,12500,4500,5.38095
1.67088E+12,17.4567,797,93029,5.50589,233,0,8.66667,13.5183,191,0,0.346912,56,48.2143,19.2601,31,12500,4500,5.37173
1.67088E+12,18.4455,808,77980,5.9327,235,0,8.66667,10.7124,153,119,0.282944,44,40.9091,18.3597,31,12500,4500,4.83007
1.67088E+12,15.8976,830,63752,4.9575,234,0,8.16667,10.4109,129,0,0.250464,36,38.8889,16.9166,31,12500,4500,4.62791
1.67088E+12,19.0303,793,73473,6.23712,234,0,9.28571,11.0215,233,274,0.804384,68,36.7647,17.6063,31,12500,4500,4.37768
1.67088E+12,18.5957,747,29062,5.72534,217,0,8.83333,10.0833,192,120,0.346176,55,41.8182,18.4112,31,11254,4125,4.76562
1.67088E+12,17.5868,680,1137,4.63504,201,0,9.33333,12.4175,194,0,0.244256,58,62.069,11.6114,31,10533,3864,6.45876
1.67088E+12,19.9126,446,49317,3.71526,128,0,9.5,9.70786,178,0,0.214112,53,50.9434,9.3348,31,6301,2430,5.64045
