Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.67088E+12,0,0,0,0,0,0,8,15,4,0,0.1,1,0,29.0028,31,0,0,1
1.67088E+12,0,3,0,0,0,0,4.6,12.8571,7,0,0.1,2,0,32.5694,31,0,9,1
1.67088E+12,7.95652,23,0,0.026048,8,0,4.83333,13.875,32,0,0.125984,9,0,32.8599,31,0,51,1
1.67088E+12,7.34146,82,0,0.102592,24,0,7.33333,15.3141,121,0,1.35821,35,2.85714,30.4594,31,0,213,1.22314
1.67088E+12,8.93642,173,0,0.243808,51,0,5.83333,15.0854,82,0,0.900736,23,0,30.3616,31,220,411,1
1.67088E+12,7.01282,78,0,0.04864,22,0,6,14.1429,21,0,0.1,6,0,34.0056,31,69,96,1
1.67088E+12,13.58,100,0,0.330368,29,0,8.5,15.2048,83,0,0.895488,24,4.16667,29.8036,31,295,288,1.3253
1.67088E+12,0,0,0,0,0,0,7.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,3.85714,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.6,15,4,0,0.1,1,0,32.1323,31,0,0,1
1.67088E+12,3.57143,7,0,0.001664,2,0,6.5,14.1818,11,0,0.1,3,0,32.5305,31,6,6,1
1.67088E+12,0,0,0,0,0,0,5,15,4,0,0.1,1,0,31.9997,31,0,0,1
1.67088E+12,0,0,0,0,0,0,4.33333,15,8,0,0.1,2,0,29.6046,31,0,0,1
1.67088E+12,0,0,0,0,0,0,4.66667,15,4,0,0.1,1,0,32.4245,31,0,0,1
1.67088E+12,0,0,0,0,0,0,5.71429,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.33333,14.1429,7,0,0.1,2,0,34.3247,31,0,0,1
1.67088E+12,3.08205,195,120,0.093792,49,0,3.83333,4.35955,89,0,0.10288,27,29.6296,3.43049,31,367,396,3.59551
1.67088E+12,1.11154,260,0,0.045344,81,0,3.66667,0.1,11,0,0.1,3,0,1.55967,31,248,318,1.72727
1.67088E+12,0,0,0,0,0,0,3.71429,0.1,7,0,0.1,2,0,1.2476,31,0,0,1.57143
1.67088E+12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,1.57447,188,0,0.02544,53,0,3.66667,0.1,65,0,0.1,18,0,4.0557,31,166,180,1.12308
1.67088E+12,4.73585,53,0,0.026144,15,0,4,13.8571,7,0,0.1,2,0,33.3037,31,58,108,1
1.67088E+12,7.11111,18,0,0.004608,3,0,5.71429,15.6,45,0,0.607392,13,0,30.6484,31,15,15,1
1.67088E+12,8.35294,17,0,0.009792,7,0,5.66667,14.4286,7,0,0.1,2,0,36.4199,31,15,15,1
1.67088E+12,0,0,0,0,0,0,5.6,12.1429,7,0,0.1,2,0,34.3485,31,0,0,1
1.67088E+12,6.28571,7,0,0.00224,2,0,4.33333,12.1429,14,0,0.1,4,0,34.7808,31,6,6,1
1.67088E+12,8.3,10,0,0.004608,3,0,6.28571,0,0,0,0,0,0,0,0,9,9,0
1.67088E+12,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,8,4,0,0.001568,1,0,6.42857,13.2857,7,0,0.1,2,0,34.7482,31,3,3,1
1.67088E+12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.83333,0,9,0,0.1,3,0,0,31,0,0,0
1.67088E+12,0,0,0,0,0,0,4.33333,15,14,0,0.1,4,50,18.2774,31,0,0,5.5
1.67088E+12,0,0,0,0,0,0,3.85714,15,8,0,0.1,2,50,18.6829,31,0,0,5.5
1.67088E+12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,3.71429,0,12,0,0,4,100,0,0,0,0,0
1.67088E+12,4.71429,21,0,0.005184,6,0,3.83333,0.1,16,0,0.1,5,0,1.24784,31,18,18,1
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.5,0.1,4,0,0.1,1,0,31.638,31,0,0,1
1.67088E+12,7.70588,17,0,0.007584,5,0,5.14286,12.8571,7,0,0.1,2,0,33.8839,31,18,18,1
1.67088E+12,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,3,0,0.001568,1,0,6.57143,13.7143,7,0,0.1,2,0,33.0213,31,3,3,1
1.67088E+12,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.71429,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.83333,15,4,0,0.1,1,0,29.2828,31,0,0,1
1.67088E+12,0,0,0,0,0,0,4.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,12,4,0,0.002336,1,0,6.66667,15.3696,46,0,0.602016,13,0,30.5465,31,3,3,1
1.67088E+12,0,0,0,0,0,0,7.14286,15.8205,39,0,0.58224,11,0,29.6564,31,0,0,1
1.67088E+12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7.16667,12.8571,7,0,0.1,2,0,34.6055,31,0,0,1
1.67088E+12,0,3,0,0.002336,1,0,6.33333,15.4,50,0,0.635456,14,0,30.1637,31,3,3,1
1.67088E+12,12.7458,59,0,0.11616,15,0,6,15.0299,67,0,0.711072,19,0,31.1802,31,118,144,1
1.67088E+12,8.29412,17,0,0.011584,7,0,3.83333,12.8571,7,0,0.1,2,0,33.6752,31,15,15,1
1.67088E+12,0,3,0,0.002336,1,0,6.6,15,8,0,0.1,2,0,30.646,31,3,3,1
1.67088E+12,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6,15,4,0,0.1,1,0,28.8349,31,0,0,1
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,3,0,0.001568,1,0,7.42857,13.7143,7,0,0.1,2,0,34.5137,31,3,3,1
1.67088E+12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.2,15.8205,39,0,0.585312,11,0,29.8655,31,0,0,1
1.67088E+12,0,0,0,0,0,0,4.83333,15.8205,39,0,0.58224,11,0,29.7064,31,0,0,1
1.67088E+12,4.5283,53,0,0.015008,15,0,6.28571,14.5714,7,0,0.1,2,0,36.519,31,48,48,1
1.67088E+12,0,0,0,0,0,0,4.6,15.8205,39,0,0.58224,11,0,29.702,31,0,0,1
1.67088E+12,2,31,0,0.005184,9,0,5.16667,12.8571,7,0,0.1,2,0,32.9339,31,27,27,1
1.67088E+12,9.8,10,0,0.005344,3,0,4.8,12.8571,7,0,0.1,2,0,34.3488,31,12,12,1
1.67088E+12,1.82353,17,0,0.002656,5,0,5.85714,0,0,0,0,0,0,0,0,15,15,0
1.67088E+12,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,6.7,10,0,0.003648,3,0,5.16667,14,15,0,0.1,4,0,33.3892,31,9,9,1
1.67088E+12,5.31034,87,25,0.031744,18,0,5,15.4773,44,0,0.545568,12,0,29.8361,31,162,252,1
1.67088E+12,9.33846,130,0,0.243744,44,0,6.28571,14.3714,35,0,0.308032,10,0,31.747,31,250,279,1
1.67088E+12,0,0,0,0,0,0,3.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,6.57143,21,0,0.0376,6,0,6.33333,13.7143,7,0,0.1,2,0,33.9429,31,40,78,1
1.67088E+12,0.69697,66,0,0.00656,19,0,5.28571,13.9286,14,0,0.1,4,0,34.819,31,60,60,1
1.67088E+12,10.2143,14,0,0.007392,4,0,7,12.8571,7,0,0.1,2,0,32.6574,0,12,12,1
1.67088E+12,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,3.57143,7,0,0.001664,2,0,6.28571,13.7143,7,0,0.1,2,0,32.7689,31,6,6,1
1.67088E+12,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.16667,15.7381,42,0,0.599296,12,0,30.2054,31,0,0,1
1.67088E+12,5.78571,14,0,0.004608,4,0,6.33333,12.8571,7,0,0.1,2,0,32.8463,31,12,12,1
1.67088E+12,0,0,0,0,0,0,5.42857,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,9.41177,17,0,0.00864,5,0,7,13.3077,26,0,0.1,7,0,33.5341,31,15,15,1
1.67088E+12,8.27966,118,0,0.196064,34,0,5.83333,15.1333,60,0,0.653344,17,0,31.4473,31,375,372,1
1.67088E+12,7.14286,7,0,0.002592,2,0,3.83333,12.8571,7,0,0.1,2,0,33.9656,31,6,6,1
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.85714,15,4,0,0.1,1,0,30.3033,31,0,0,1
1.67088E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7.28571,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6,15,4,0,0.1,1,0,31.4701,31,0,0,1
1.67088E+12,0,3,0,0.001568,1,0,6.14286,14.1818,11,0,0.1,3,0,34.251,31,3,3,1
1.67088E+12,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,3.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.57143,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.83333,15,7,144276,0.1,2,0,32.4482,31,0,0,1
1.67088E+12,5.78571,14,0,0.004608,4,0,7.5,15.4359,39,0,0.557088,11,0,29.6878,31,12,12,1
1.67088E+12,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.33333,15,14,0,0.1,4,0,32.2447,31,0,0,1
1.67088E+12,0.72549,153,59,0.016384,44,0,4.33333,13.8,25,142368,0.1,7,0,33.0368,31,141,141,1
1.67088E+12,6.16216,259,0,0.341888,74,0,4.83333,15.4861,72,0,0.976768,21,0,30.8671,31,861,882,1
1.67088E+12,8.42623,61,62,0.023584,11,0,8.57143,14.95,40,0,0.44448,12,0,31.6276,31,81,102,1
1.67088E+12,11.5556,189,0,0.520544,60,0,6.33333,14.5814,43,0,0.299552,13,0,33.4527,31,647,645,1
1.67088E+12,10.208,125,0,0.258304,35,0,5.33333,13.6,35,0,0.132928,10,0,34.1684,31,677,402,1
1.67088E+12,2.32738,168,0,0.066208,48,0,5.16667,15.4186,43,0,0.600448,13,7.69231,27.3804,31,182,282,1.83721
1.67088E+12,0,0,0,0,0,0,5.42857,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,7.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.71429,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,3,0,0.001568,1,0,5.16667,13.7143,7,0,0.1,2,0,33.3896,31,3,3,1
1.67088E+12,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6.5,15,4,0,0.1,1,0,29.8235,31,0,0,1
1.67088E+12,0,0,0,0,0,0,5.42857,15.8205,39,0,0.585312,11,0,29.2366,31,0,0,1
1.67088E+12,1.36552,145,0,0.018528,42,0,5,15.3696,46,0,0.605088,13,0,30.0341,31,135,135,1
1.67088E+12,0,0,0,0,0,0,8.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.66667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,1.125,24,0,0.003168,7,0,5.85714,12.8571,7,0,0.1,2,0,33.6593,31,21,21,1
1.67088E+12,3.92308,13,0,0.015872,4,0,4.83333,14.8333,18,0,0.1,5,0,33.1049,31,19,60,1
1.67088E+12,8.33333,24,0,0.02528,7,0,4.83333,14,15,0,0.1,4,0,32.4659,31,34,45,1
1.67088E+12,6.46429,28,0,0.00976,8,0,4.2,14.5,30,0,0.122112,8,0,31.6277,31,24,24,1
1.67088E+12,4.71429,7,0,0.00224,2,0,5.66667,15,8,0,0.1,2,0,30.5626,31,6,6,1
1.67088E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4.33333,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,8.16667,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.85714,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,3,0,0.001568,1,0,6,13.7143,7,0,0.1,2,0,32.8648,31,3,3,1
1.67088E+12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1.67088E+12,0,0,0,0,0,0,5.66667,13.4091,22,0,0.1,6,0,34.4015,31,0,0,1
1.67088E+12,7.61538,52,0,0.036832,15,0,5,14.9655,29,27193,0.19216,8,0,32.4148,31,55,66,1
1.67088E+12,6.68889,315,0,0.560512,87,0,7.16667,15.726,146,0,2.11885,42,2.38095,29.2624,31,2092,1335,1.18493
1.67088E+12,8.20811,370,0,0.642272,108,0,6.5,15.24,125,0,1.46518,36,2.77778,30.5418,31,928,1134,1.216
1.67088E+12,8.74341,417,0,0.888544,122,0,5.66667,14.2022,89,0,0.652864,25,0,33.8165,31,2500,1728,1
