App name,No.,Time,Source,Destination,Protocol,Length
YouTube,1,0,172.30.1.1,172.30.1.250,DNS,116
YouTube,2,0.14701,172.30.1.250,172.30.1.1,DNS,228
YouTube,3,0.151413,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,4,0.152747,172.30.1.1,172.30.1.250,QUIC,152
YouTube,5,0.154453,172.30.1.1,172.30.1.250,TCP,108
YouTube,6,0.240528,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,7,0.242137,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,8,0.248517,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,9,0.250154,172.30.1.1,172.30.1.250,QUIC,116
YouTube,10,0.252944,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,11,0.254371,172.30.1.1,172.30.1.250,QUIC,116
YouTube,12,0.257074,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,13,0.257391,172.30.1.250,172.30.1.1,TCP,96
YouTube,14,0.257578,172.30.1.1,172.30.1.250,TCP,88
YouTube,15,0.259219,172.30.1.1,172.30.1.250,TLSv1.3,872
YouTube,16,0.259468,172.30.1.1,172.30.1.250,QUIC,116
YouTube,17,0.259596,172.30.1.250,172.30.1.1,TCP,88
YouTube,18,0.301695,172.30.1.250,172.30.1.1,QUIC,304
YouTube,19,0.304632,172.30.1.1,172.30.1.250,QUIC,240
YouTube,20,0.305531,172.30.1.1,172.30.1.250,QUIC,820
YouTube,21,0.305695,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,22,0.305767,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,23,0.306022,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,24,0.306043,172.30.1.1,172.30.1.250,QUIC,836
YouTube,25,0.328802,172.30.1.250,172.30.1.1,TLSv1.3,1424
YouTube,26,0.329053,172.30.1.1,172.30.1.250,TCP,88
YouTube,27,0.331228,172.30.1.250,172.30.1.1,TCP,1424
YouTube,28,0.331294,172.30.1.1,172.30.1.250,TCP,88
YouTube,29,0.335902,172.30.1.250,172.30.1.1,TLSv1.3,2268
YouTube,30,0.335974,172.30.1.1,172.30.1.250,TCP,88
