App name,No.,Time,Source,Destination,Protocol,Length
OneDrive,403332,0.0,172.30.1.1,172.30.1.250,TCP,88
Unknown,403333,0.005808999999999287,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403334,0.01585299999999279,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403335,0.021974999999997635,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403336,0.02211499999998523,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403337,0.02504199999998491,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403338,0.025126000000000204,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,403339,0.025405999999975393,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403340,0.02800999999999476,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403341,0.028183999999953357,172.30.1.250,172.30.1.1,TLSv1.2,1404
Unknown,403342,0.028294999999957327,172.30.1.1,172.30.1.250,TCP,88
Unknown,403343,0.03170399999999063,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403344,0.03495399999997062,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403345,0.03506899999996449,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403346,0.03811799999999721,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403347,0.038233999999988555,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403348,0.038311999999962154,172.30.1.250,172.30.1.1,TCP,2724
OneDrive,403349,0.0383979999999724,172.30.1.1,172.30.1.250,TCP,88
Unknown,403350,0.03856099999995877,172.30.1.1,172.30.1.250,TCP,88
Unknown,403351,0.04088500000000295,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403352,0.041192999999964286,172.30.1.1,172.30.1.250,TCP,88
Unknown,403353,0.043948999999997795,172.30.1.250,172.30.1.1,TCP,2724
OneDrive,403354,0.047220999999979085,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403355,0.04731699999996408,172.30.1.250,172.30.1.1,TCP,2724
Unknown,403356,0.04771899999997231,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403357,0.04784899999998515,172.30.1.250,172.30.1.1,TCP,5360
OneDrive,403358,0.04807399999998552,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403359,0.06245099999995318,172.30.1.250,172.30.1.1,TCP,10048
OneDrive,403360,0.06279399999999669,172.30.1.250,172.30.1.1,TLSv1.2,10048
OneDrive,403361,0.06294499999995651,172.30.1.250,172.30.1.1,TLSv1.2,10048
OneDrive,403362,0.06304199999999582,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403363,0.06307599999996683,172.30.1.250,172.30.1.1,TCP,4476
Unknown,403364,0.06545899999997573,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403365,0.06556699999998727,172.30.1.1,172.30.1.250,TCP,88
Unknown,403366,0.06844100000000708,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,403367,0.07275099999998247,172.30.1.1,172.30.1.250,TCP,88
Unknown,403368,0.07281000000000404,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403369,0.07300599999996393,172.30.1.1,172.30.1.250,TCP,88
Unknown,403370,0.07554199999998445,172.30.1.250,172.30.1.1,TCP,2724
OneDrive,403371,0.08045599999996966,172.30.1.250,172.30.1.1,TLSv1.2,2724
OneDrive,403372,0.08084199999996144,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403373,0.08351699999997209,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,403374,0.08358799999996336,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403375,0.0836439999999925,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403376,0.08375699999999142,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403377,0.08652200000000221,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403378,0.08659299999999348,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,403379,0.08735199999995302,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403380,0.08738199999999097,172.30.1.1,172.30.1.250,TCP,88
Unknown,403381,0.08740000000000236,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403382,0.08951500000000578,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,403383,0.09304399999996349,172.30.1.250,172.30.1.1,TCP,2724
OneDrive,403384,0.0937319999999886,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403385,0.09612399999997479,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403386,0.09622600000000148,172.30.1.250,172.30.1.1,TLSv1.2,2724
OneDrive,403387,0.09632799999997133,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403388,0.09895599999998694,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,403389,0.10205199999995784,172.30.1.250,172.30.1.1,TCP,2724
OneDrive,403390,0.10273300000000063,172.30.1.1,172.30.1.250,TCP,88
OneDrive,403391,0.10503599999998414,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403392,0.1084809999999834,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403393,0.11136799999997038,172.30.1.250,172.30.1.1,TCP,1404
Unknown,403394,0.11275100000000293,172.30.1.1,172.30.1.250,TCP,88
Unknown,403395,0.11472399999996696,172.30.1.250,172.30.1.1,TCP,4040
