App name,No.,Time,Source,Destination,Protocol,Length
Chrome,2687,0.0,172.30.1.1,172.30.1.250,TLSv1.3,116
Chrome,2688,0.0003309999999885349,172.30.1.250,172.30.1.1,TCP,88
Chrome,2689,0.10928599999999733,172.30.1.250,172.30.1.1,TLSv1.3,112
Chrome,2690,0.10961299999999596,172.30.1.1,172.30.1.250,TCP,88
Chrome,2691,0.24344299999998498,172.30.1.1,172.30.1.250,TLSv1.3,552
Chrome,2692,0.24364199999999414,172.30.1.250,172.30.1.1,TCP,88
Chrome,2693,0.24398299999998585,172.30.1.1,172.30.1.250,TLSv1.3,128
Chrome,2694,0.24401499999999032,172.30.1.250,172.30.1.1,TCP,88
Chrome,2695,0.2855209999999886,172.30.1.250,172.30.1.1,TLSv1.3,140
Chrome,2696,0.2856879999999933,172.30.1.1,172.30.1.250,TCP,88
Chrome,2697,0.5334999999999752,172.30.1.250,172.30.1.1,TLSv1.3,420
Chrome,2698,0.5337959999999953,172.30.1.1,172.30.1.250,TCP,88
Chrome,2699,0.5407989999999927,172.30.1.1,172.30.1.250,TLSv1.3,124
Chrome,2700,0.5409859999999753,172.30.1.250,172.30.1.1,TCP,88
Chrome,2701,0.627980999999977,172.30.1.1,172.30.1.250,TLSv1.3,404
Chrome,2702,0.6281709999999805,172.30.1.250,172.30.1.1,TCP,88
Chrome,2703,0.6285179999999855,172.30.1.1,172.30.1.250,TLSv1.3,588
Chrome,2704,0.6285919999999976,172.30.1.250,172.30.1.1,TCP,88
Chrome,2705,0.6826559999999802,172.30.1.250,172.30.1.1,TLSv1.3,124
Chrome,2706,0.6828209999999899,172.30.1.1,172.30.1.250,TCP,88
Chrome,2707,1.5620939999999734,172.30.1.250,172.30.1.1,TLSv1.3,5432
Chrome,2708,1.5624259999999879,172.30.1.1,172.30.1.250,TCP,88
Chrome,2709,1.5651779999999746,172.30.1.250,172.30.1.1,TCP,1424
Chrome,2710,1.5653189999999881,172.30.1.1,172.30.1.250,TCP,88
Chrome,2711,1.638389999999987,172.30.1.250,172.30.1.1,TCP,2760
