App name,No.,Time,Source,Destination,Protocol,Length
Accountable2You,2989,0.0,172.30.1.1,172.30.1.250,DNS,112
Accountable2You,2990,0.24532600000003413,172.30.1.1,172.30.1.250,DNS,152
Accountable2You,2991,0.24943600000000288,172.30.1.1,172.30.1.250,TCP,108
Accountable2You,2992,0.29747400000002244,172.30.1.250,172.30.1.1,TCP,96
Accountable2You,2993,0.2984840000000304,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,2994,0.29963000000003603,172.30.1.1,172.30.1.250,TLSv1.3,604
Accountable2You,2995,0.3000310000000468,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,2996,0.37314200000002984,172.30.1.250,172.30.1.1,TLSv1.3,6780
Accountable2You,2997,0.3738220000000183,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,2998,0.3947390000000155,172.30.1.1,172.30.1.250,TLSv1.3,152
Accountable2You,2999,0.3950360000000046,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3000,0.39771100000001525,172.30.1.1,172.30.1.250,TLSv1.3,132
Accountable2You,3001,0.3978890000000206,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3002,0.3981920000000514,172.30.1.1,172.30.1.250,TLSv1.3,124
Accountable2You,3003,0.3982340000000022,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3004,0.39847700000001396,172.30.1.1,172.30.1.250,TLSv1.3,124
Accountable2You,3005,0.3986189999999965,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3006,0.39999800000003916,172.30.1.1,172.30.1.250,TLSv1.3,160
Accountable2You,3007,0.400148999999999,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3008,0.43804300000005014,172.30.1.250,172.30.1.1,TLSv1.3,700
Accountable2You,3009,0.4384770000000344,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,3010,0.4400449999999978,172.30.1.1,172.30.1.250,TLSv1.3,120
Accountable2You,3011,0.44024799999999686,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3012,0.4577820000000088,172.30.1.250,172.30.1.1,TLSv1.3,364
Accountable2You,3013,0.45803300000000036,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,3014,0.4591190000000438,172.30.1.1,172.30.1.250,TLSv1.3,128
Accountable2You,3015,0.4592770000000428,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3016,0.4596990000000005,172.30.1.1,172.30.1.250,TLSv1.3,112
Accountable2You,3017,0.459728000000041,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3018,0.4603040000000078,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,3019,0.4603930000000105,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3020,0.4732670000000212,172.30.1.1,172.30.1.250,DNS,116
Accountable2You,3021,0.5037100000000123,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3022,0.5278040000000033,172.30.1.1,172.30.1.250,DNS,148
Accountable2You,3023,0.5345960000000218,172.30.1.1,172.30.1.250,TCP,108
Accountable2You,3024,0.5749010000000112,172.30.1.250,172.30.1.1,TCP,96
Accountable2You,3025,0.5755600000000527,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,3026,0.5773690000000329,172.30.1.1,172.30.1.250,TLSv1.3,616
Accountable2You,3027,0.5776800000000435,172.30.1.250,172.30.1.1,TCP,88
Accountable2You,3028,0.6239310000000273,172.30.1.250,172.30.1.1,TLSv1.3,304
