App name,No.,Time,Source,Destination,Protocol,Length
Google Fi,5596,0.0,172.30.1.250,172.30.1.1,TCP,88
Google Play service,5597,108.58129199999985,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5598,109.2329880000002,172.30.1.1,172.30.1.250,DNS,120
USAA SafePilot,5599,109.31142399999999,172.30.1.1,172.30.1.250,DNS,168
USAA SafePilot,5600,109.31392199999982,172.30.1.1,172.30.1.250,TCP,108
USAA SafePilot,5601,109.38043000000016,172.30.1.250,172.30.1.1,TCP,96
USAA SafePilot,5602,109.38066600000002,172.30.1.1,172.30.1.250,TCP,88
USAA SafePilot,5603,109.38439900000003,172.30.1.1,172.30.1.250,TLSv1.2,604
USAA SafePilot,5604,109.38465899999983,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5605,109.75570599999992,172.30.1.250,172.30.1.1,TLSv1.2,232
USAA SafePilot,5606,109.7572540000001,172.30.1.1,172.30.1.250,TCP,88
USAA SafePilot,5607,109.76312300000018,172.30.1.1,172.30.1.250,TLSv1.2,140
USAA SafePilot,5608,109.7633850000002,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5609,109.79125999999997,172.30.1.1,172.30.1.250,TLSv1.2,140
USAA SafePilot,5610,109.79142499999989,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5611,109.79184799999985,172.30.1.1,172.30.1.250,TLSv1.2,132
USAA SafePilot,5612,109.79204100000015,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5613,109.7927709999999,172.30.1.1,172.30.1.250,TLSv1.2,128
USAA SafePilot,5614,109.79282599999988,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5615,109.79748599999994,172.30.1.250,172.30.1.1,TLSv1.2,156
USAA SafePilot,5616,109.79766000000018,172.30.1.1,172.30.1.250,TCP,88
USAA SafePilot,5617,109.79892199999995,172.30.1.1,172.30.1.250,TLSv1.2,584
USAA SafePilot,5618,109.79900399999997,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5619,109.79942600000004,172.30.1.1,172.30.1.250,TLSv1.2,748
USAA SafePilot,5620,109.79951299999993,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5621,109.82152099999985,172.30.1.250,172.30.1.1,TLSv1.2,124
USAA SafePilot,5622,109.82165600000008,172.30.1.1,172.30.1.250,TCP,88
USAA SafePilot,5623,109.95239399999991,172.30.1.250,172.30.1.1,TLSv1.2,284
USAA SafePilot,5624,109.95395199999984,172.30.1.1,172.30.1.250,TCP,88
Google Play service,5625,113.64184399999976,172.30.1.1,172.30.1.250,TCP,108
Google Play service,5626,113.75601999999981,172.30.1.250,172.30.1.1,TCP,96
Google Play service,5627,113.75646400000005,172.30.1.1,172.30.1.250,TCP,88
Google Play service,5628,113.7618950000001,172.30.1.1,172.30.1.250,TLSv1.3,624
Google Play service,5629,113.76235700000007,172.30.1.250,172.30.1.1,TCP,88
Google Play service,5630,113.81461399999989,172.30.1.250,172.30.1.1,TLSv1.3,292
Google Play service,5631,113.8152570000002,172.30.1.1,172.30.1.250,TCP,88
Google Play service,5632,113.8172199999999,172.30.1.1,172.30.1.250,TLSv1.3,152
Google Play service,5633,113.81737800000019,172.30.1.250,172.30.1.1,TCP,88
Google Play service,5634,113.84000900000001,172.30.1.1,172.30.1.250,TLSv1.3,460
Google Play service,5635,113.84017399999993,172.30.1.250,172.30.1.1,TCP,88
Google Play service,5636,113.90318399999978,172.30.1.250,172.30.1.1,TLSv1.3,740
Google Play service,5637,113.90392500000007,172.30.1.1,172.30.1.250,TCP,88
USAA SafePilot,5638,120.64229599999999,172.30.1.1,172.30.1.250,TLSv1.2,820
USAA SafePilot,5639,120.64263200000005,172.30.1.250,172.30.1.1,TCP,88
USAA SafePilot,5640,122.48795699999982,172.30.1.250,172.30.1.1,TLSv1.2,284
USAA SafePilot,5641,122.48932400000012,172.30.1.1,172.30.1.250,TCP,88
Accountable2You,5642,129.1211119999998,172.30.1.250,172.30.1.1,TCP,88
